idx,feature,value,LB,UB
0,Lot Frontage,141.0,,
0,Lot Area,31770.0,,
0,Utilities,3.0,,
0,Overall Qual,6.0,,
0,Overall Cond,5.0,,
0,Year Built,1960.0,,
0,Year Remod/Add,1960.0,,
0,Mas Vnr Area,112.0,,
0,Exter Qual,2.0,,
0,Exter Cond,2.0,,
0,Bsmt Qual,2.0,,
0,Bsmt Cond,3.0,,
0,BsmtFin SF 1,1002.0,,
0,BsmtFin SF 2,78.0,,
0,Bsmt Unf SF,0.0,,
0,Total Bsmt SF,1080.0,,
0,Heating QC,1.0,,
0,1st Flr SF,1696.0,,
0,2nd Flr SF,0.0,,
0,Low Qual Fin SF,0.0,,
0,Gr Liv Area,1696.0,,
0,Bsmt Full Bath,1.0,,
0,Bsmt Half Bath,0.0,,
0,Full Bath,2.0,,
0,Half Bath,0.0,,
0,Bedroom AbvGr,3.0,,
0,Kitchen AbvGr,1.0,,
0,Kitchen Qual,2.0,,
0,TotRms AbvGrd,7.0,,
0,Fireplaces,2.0,,
0,Fireplace Qu,3.0,,
0,Garage Yr Blt,1960.0,,
0,Garage Cars,2.0,,
0,Garage Area,528.0,,
0,Garage Qual,2.0,,
0,Garage Cond,2.0,,
0,Wood Deck SF,231.0,,
0,Open Porch SF,74.4,,
0,Enclosed Porch,0.0,,
0,3Ssn Porch,0.0,,
0,Screen Porch,0.0,,
0,Pool Area,0.0,,
0,Pool QC,-1.0,,
0,Misc Val,0.0,,
0,Yr Sold,2010.0,,
0,MS SubClass_20,1.0,,
0,MS SubClass_30,0.0,,
0,MS SubClass_40,0.0,,
0,MS SubClass_45,0.0,,
0,MS SubClass_50,0.0,,
0,MS SubClass_60,0.0,,
0,MS SubClass_70,0.0,,
0,MS SubClass_75,0.0,,
0,MS SubClass_80,0.0,,
0,MS SubClass_85,0.0,,
0,MS SubClass_90,0.0,,
0,MS SubClass_120,0.0,,
0,MS SubClass_150,0.0,,
0,MS SubClass_160,0.0,,
0,MS SubClass_180,0.0,,
0,MS SubClass_190,0.0,,
0,MS Zoning_A (agr),0.0,,
0,MS Zoning_C (all),0.0,,
0,MS Zoning_FV,0.0,,
0,MS Zoning_I (all),0.0,,
0,MS Zoning_RH,0.0,,
0,MS Zoning_RL,1.0,,
0,MS Zoning_RM,0.0,,
0,Street_Grvl,0.0,,
0,Street_Pave,1.0,,
0,Alley_Grvl,0.0,,
0,Alley_No aplica,1.0,,
0,Alley_Pave,0.0,,
0,Lot Shape_IR1,1.0,,
0,Lot Shape_IR2,0.0,,
0,Lot Shape_IR3,0.0,,
0,Lot Shape_Reg,0.0,,
0,Land Contour_Bnk,0.0,,
0,Land Contour_HLS,0.0,,
0,Land Contour_Low,0.0,,
0,Land Contour_Lvl,1.0,,
0,Lot Config_Corner,1.0,,
0,Lot Config_CulDSac,0.0,,
0,Lot Config_FR2,0.0,,
0,Lot Config_FR3,0.0,,
0,Lot Config_Inside,0.0,,
0,Land Slope_Gtl,1.0,,
0,Land Slope_Mod,0.0,,
0,Land Slope_Sev,0.0,,
0,Neighborhood_Blmngtn,0.0,,
0,Neighborhood_Blueste,0.0,,
0,Neighborhood_BrDale,0.0,,
0,Neighborhood_BrkSide,0.0,,
0,Neighborhood_ClearCr,0.0,,
0,Neighborhood_CollgCr,0.0,,
0,Neighborhood_Crawfor,0.0,,
0,Neighborhood_Edwards,0.0,,
0,Neighborhood_Gilbert,0.0,,
0,Neighborhood_Greens,0.0,,
0,Neighborhood_GrnHill,0.0,,
0,Neighborhood_IDOTRR,0.0,,
0,Neighborhood_Landmrk,0.0,,
0,Neighborhood_MeadowV,0.0,,
0,Neighborhood_Mitchel,0.0,,
0,Neighborhood_NPkVill,0.0,,
0,Neighborhood_NWAmes,0.0,,
0,Neighborhood_No aplicames,1.0,,
0,Neighborhood_NoRidge,0.0,,
0,Neighborhood_NridgHt,0.0,,
0,Neighborhood_OldTown,0.0,,
0,Neighborhood_SWISU,0.0,,
0,Neighborhood_Sawyer,0.0,,
0,Neighborhood_SawyerW,0.0,,
0,Neighborhood_Somerst,0.0,,
0,Neighborhood_StoneBr,0.0,,
0,Neighborhood_Timber,0.0,,
0,Neighborhood_Veenker,0.0,,
0,Condition 1_Artery,0.0,,
0,Condition 1_Feedr,0.0,,
0,Condition 1_Norm,1.0,,
0,Condition 1_PosA,0.0,,
0,Condition 1_PosN,0.0,,
0,Condition 1_RRAe,0.0,,
0,Condition 1_RRAn,0.0,,
0,Condition 1_RRNe,0.0,,
0,Condition 1_RRNn,0.0,,
0,Condition 2_Artery,0.0,,
0,Condition 2_Feedr,0.0,,
0,Condition 2_Norm,1.0,,
0,Condition 2_PosA,0.0,,
0,Condition 2_PosN,0.0,,
0,Condition 2_RRAe,0.0,,
0,Condition 2_RRAn,0.0,,
0,Condition 2_RRNn,0.0,,
0,Bldg Type_1Fam,1.0,,
0,Bldg Type_2fmCon,0.0,,
0,Bldg Type_Duplex,0.0,,
0,Bldg Type_Twnhs,0.0,,
0,Bldg Type_TwnhsE,0.0,,
0,House Style_1.5Fin,0.0,,
0,House Style_1.5Unf,0.0,,
0,House Style_1Story,1.0,,
0,House Style_2.5Fin,0.0,,
0,House Style_2.5Unf,0.0,,
0,House Style_2Story,0.0,,
0,House Style_SFoyer,0.0,,
0,House Style_SLvl,0.0,,
0,Roof Style_Flat,0.0,,
0,Roof Style_Gable,0.0,,
0,Roof Style_Gambrel,0.0,,
0,Roof Style_Hip,1.0,,
0,Roof Style_Mansard,0.0,,
0,Roof Style_Shed,0.0,,
0,Roof Matl_ClyTile,0.0,,
0,Roof Matl_CompShg,1.0,,
0,Roof Matl_Membran,0.0,,
0,Roof Matl_Metal,0.0,,
0,Roof Matl_Roll,0.0,,
0,Roof Matl_Tar&Grv,0.0,,
0,Roof Matl_WdShake,0.0,,
0,Roof Matl_WdShngl,0.0,,
0,Exterior 1st_AsbShng,0.0,,
0,Exterior 1st_AsphShn,0.0,,
0,Exterior 1st_BrkComm,0.0,,
0,Exterior 1st_BrkFace,1.0,,
0,Exterior 1st_CBlock,0.0,,
0,Exterior 1st_CemntBd,0.0,,
0,Exterior 1st_HdBoard,0.0,,
0,Exterior 1st_ImStucc,0.0,,
0,Exterior 1st_MetalSd,0.0,,
0,Exterior 1st_Plywood,0.0,,
0,Exterior 1st_PreCast,0.0,,
0,Exterior 1st_Stone,0.0,,
0,Exterior 1st_Stucco,0.0,,
0,Exterior 1st_VinylSd,0.0,,
0,Exterior 1st_Wd Sdng,0.0,,
0,Exterior 1st_WdShing,0.0,,
0,Exterior 2nd_AsbShng,0.0,,
0,Exterior 2nd_AsphShn,0.0,,
0,Exterior 2nd_Brk Cmn,0.0,,
0,Exterior 2nd_BrkFace,0.0,,
0,Exterior 2nd_CBlock,0.0,,
0,Exterior 2nd_CmentBd,0.0,,
0,Exterior 2nd_HdBoard,0.0,,
0,Exterior 2nd_ImStucc,0.0,,
0,Exterior 2nd_MetalSd,0.0,,
0,Exterior 2nd_Other,0.0,,
0,Exterior 2nd_Plywood,1.0,,
0,Exterior 2nd_PreCast,0.0,,
0,Exterior 2nd_Stone,0.0,,
0,Exterior 2nd_Stucco,0.0,,
0,Exterior 2nd_VinylSd,0.0,,
0,Exterior 2nd_Wd Sdng,0.0,,
0,Exterior 2nd_Wd Shng,0.0,,
0,Mas Vnr Type_BrkCmn,0.0,,
0,Mas Vnr Type_BrkFace,0.0,,
0,Mas Vnr Type_CBlock,0.0,,
0,Mas Vnr Type_No aplica,0.0,,
0,Mas Vnr Type_NoAplica,0.0,,
0,Mas Vnr Type_Stone,1.0,,
0,Foundation_BrkTil,0.0,,
0,Foundation_CBlock,1.0,,
0,Foundation_PConc,0.0,,
0,Foundation_Slab,0.0,,
0,Foundation_Stone,0.0,,
0,Foundation_Wood,0.0,,
0,Bsmt Exposure_Av,0.0,,
0,Bsmt Exposure_Gd,1.0,,
0,Bsmt Exposure_Mn,0.0,,
0,Bsmt Exposure_No,0.0,,
0,Bsmt Exposure_No aplica,0.0,,
0,BsmtFin Type 1_ALQ,0.0,,
0,BsmtFin Type 1_BLQ,1.0,,
0,BsmtFin Type 1_GLQ,0.0,,
0,BsmtFin Type 1_LwQ,0.0,,
0,BsmtFin Type 1_No aplica,0.0,,
0,BsmtFin Type 1_Rec,0.0,,
0,BsmtFin Type 1_Unf,0.0,,
0,BsmtFin Type 2_ALQ,0.0,,
0,BsmtFin Type 2_BLQ,0.0,,
0,BsmtFin Type 2_GLQ,0.0,,
0,BsmtFin Type 2_LwQ,0.0,,
0,BsmtFin Type 2_No aplica,0.0,,
0,BsmtFin Type 2_Rec,0.0,,
0,BsmtFin Type 2_Unf,1.0,,
0,Heating_Floor,0.0,,
0,Heating_GasA,1.0,,
0,Heating_GasW,0.0,,
0,Heating_Grav,0.0,,
0,Heating_OthW,0.0,,
0,Heating_Wall,0.0,,
0,Central Air_N,0.0,,
0,Central Air_Y,1.0,,
0,Electrical_FuseA,0.0,,
0,Electrical_FuseF,0.0,,
0,Electrical_FuseP,0.0,,
0,Electrical_Mix,0.0,,
0,Electrical_SBrkr,1.0,,
0,FunctioNo aplical_Maj1,0.0,,
0,FunctioNo aplical_Maj2,0.0,,
0,FunctioNo aplical_Min1,0.0,,
0,FunctioNo aplical_Min2,0.0,,
0,FunctioNo aplical_Mod,0.0,,
0,FunctioNo aplical_Sal,0.0,,
0,FunctioNo aplical_Sev,0.0,,
0,FunctioNo aplical_Typ,1.0,,
0,Garage Type_2Types,0.0,,
0,Garage Type_Attchd,1.0,,
0,Garage Type_Basment,0.0,,
0,Garage Type_BuiltIn,0.0,,
0,Garage Type_CarPort,0.0,,
0,Garage Type_Detchd,0.0,,
0,Garage Type_No aplica,0.0,,
0,Garage Finish_Fin,1.0,,
0,Garage Finish_No aplica,0.0,,
0,Garage Finish_RFn,0.0,,
0,Garage Finish_Unf,0.0,,
0,Paved Drive_N,0.0,,
0,Paved Drive_P,0.0,,
0,Paved Drive_Y,1.0,,
0,Fence_GdPrv,0.0,,
0,Fence_GdWo,0.0,,
0,Fence_MnPrv,0.0,,
0,Fence_MnWw,0.0,,
0,Fence_No aplica,1.0,,
0,Misc Feature_Elev,0.0,,
0,Misc Feature_Gar2,0.0,,
0,Misc Feature_No aplica,1.0,,
0,Misc Feature_Othr,0.0,,
0,Misc Feature_Shed,0.0,,
0,Misc Feature_TenC,0.0,,
0,Mo Sold_1,0.0,,
0,Mo Sold_2,0.0,,
0,Mo Sold_3,0.0,,
0,Mo Sold_4,0.0,,
0,Mo Sold_5,1.0,,
0,Mo Sold_6,0.0,,
0,Mo Sold_7,0.0,,
0,Mo Sold_8,0.0,,
0,Mo Sold_9,0.0,,
0,Mo Sold_10,0.0,,
0,Mo Sold_11,0.0,,
0,Mo Sold_12,0.0,,
0,Sale Type_COD,0.0,,
0,Sale Type_CWD,0.0,,
0,Sale Type_Con,0.0,,
0,Sale Type_ConLD,0.0,,
0,Sale Type_ConLI,0.0,,
0,Sale Type_ConLw,0.0,,
0,Sale Type_New,0.0,,
0,Sale Type_Oth,0.0,,
0,Sale Type_VWD,0.0,,
0,Sale Type_WD ,1.0,,
0,Sale Condition_Abnorml,0.0,,
0,Sale Condition_AdjLand,0.0,,
0,Sale Condition_Alloca,0.0,,
0,Sale Condition_Family,0.0,,
0,Sale Condition_Normal,1.0,,
0,Sale Condition_Partial,0.0,,
