pid,presupuesto,error,timestamp
528240130,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.053572
528240130,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055306
528240130,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055311
528240130,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055313
528186160,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055316
528186160,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055317
528186160,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055319
528186160,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055320
903454100,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055322
903454100,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055323
903454100,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055324
903454100,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055326
535376090,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055327
535376090,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055328
535376090,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055330
535376090,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055331
528326060,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055332
528326060,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055334
528326060,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055335
528326060,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055336
528218080,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055338
528218080,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055339
528218080,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055340
528218080,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055342
