pid,presupuesto,precio_base,precio_remodelada,aumento_utilidad,total_cost
903231050,300000,174107.0625,387104.9175414714,205362.85504147143,7635.0
903231050,600000,174107.0625,387104.38831433427,205362.32581433427,7635.0
903231050,900000,174107.0625,387104.6818636779,205362.61936367792,7635.0
532354010,300000,218542.984375,414947.57595661347,191964.59158161347,4440.0
532354010,600000,218542.984375,414947.67798732955,191964.69361232955,4440.0
532354010,900000,218542.984375,414947.67798732955,191964.69361232955,4440.0
905352180,300000,355386.78125,516606.6187952791,146839.83754527912,14380.0
905352180,600000,355386.78125,516607.7060413257,146840.9247913257,14380.0
905352180,900000,355386.78125,516615.7191506924,146848.9379006924,14380.0
916455170,300000,330995.6875,523094.31391453504,190778.62641453504,1320.0
916455170,600000,330995.6875,523096.6984208423,190781.0109208423,1320.0
916455170,900000,330995.6875,523096.6984208423,190781.0109208423,1320.0
527182020,300000,260565.53125,523808.35514557577,242572.82389557577,20670.0
527182020,600000,260565.53125,523811.0988343447,242575.5675843447,20670.0
527182020,900000,260565.53125,523807.844115577,242572.312865577,20670.0
