pid,presupuesto,error,precio_base,precio_remodelada,aumento_utilidad,total_cost
903231050,15000,'NoneType' object is not a mapping,,,,
903231050,40000,,174107.0625,387104.15293081815,205362.09043081815,7635.0
903231050,200000,,174107.0625,387104.68186367815,205362.61936367815,7635.0
532354010,15000,'NoneType' object is not a mapping,,,,
532354010,40000,,218542.984375,399195.5328921789,179212.54851717892,1440.0
532354010,200000,,218542.984375,414947.12617126957,191964.14179626957,4440.0
905352180,15000,'NoneType' object is not a mapping,,,,
905352180,40000,,355386.78125,514536.9691520989,146770.18790209893,12380.0
905352180,200000,,355386.78125,516615.20644998614,146848.42519998614,14380.0
916455170,15000,'NoneType' object is not a mapping,,,,
916455170,40000,,330995.6875,488106.0291261552,155790.3416261552,1320.0
916455170,200000,,330995.6875,523093.98905985255,190778.30155985255,1320.0
527182020,15000,'NoneType' object is not a mapping,,,,
527182020,40000,,260565.53125,468641.3227741987,200170.79152419872,7905.0
527182020,200000,,260565.53125,523811.2557740527,242575.7245240527,20670.0
