pid,presupuesto,error
903234220,15000,'CostTables' object has no attribute 'garage_finish_costs'
903234220,40000,'CostTables' object has no attribute 'garage_finish_costs'
903234220,75000,'CostTables' object has no attribute 'garage_finish_costs'
903234220,200000,'CostTables' object has no attribute 'garage_finish_costs'
916386060,15000,'CostTables' object has no attribute 'garage_finish_costs'
916386060,40000,'CostTables' object has no attribute 'garage_finish_costs'
916386060,75000,'CostTables' object has no attribute 'garage_finish_costs'
916386060,200000,'CostTables' object has no attribute 'garage_finish_costs'
907290160,15000,'CostTables' object has no attribute 'garage_finish_costs'
907290160,40000,'CostTables' object has no attribute 'garage_finish_costs'
907290160,75000,'CostTables' object has no attribute 'garage_finish_costs'
907290160,200000,'CostTables' object has no attribute 'garage_finish_costs'
905352070,15000,'CostTables' object has no attribute 'garage_finish_costs'
905352070,40000,'CostTables' object has no attribute 'garage_finish_costs'
905352070,75000,'CostTables' object has no attribute 'garage_finish_costs'
905352070,200000,'CostTables' object has no attribute 'garage_finish_costs'
532378180,15000,'CostTables' object has no attribute 'garage_finish_costs'
532378180,40000,'CostTables' object has no attribute 'garage_finish_costs'
532378180,75000,'CostTables' object has no attribute 'garage_finish_costs'
532378180,200000,'CostTables' object has no attribute 'garage_finish_costs'
906476140,15000,'CostTables' object has no attribute 'garage_finish_costs'
906476140,40000,'CostTables' object has no attribute 'garage_finish_costs'
906476140,75000,'CostTables' object has no attribute 'garage_finish_costs'
906476140,200000,'CostTables' object has no attribute 'garage_finish_costs'
916455050,15000,'CostTables' object has no attribute 'garage_finish_costs'
916455050,40000,'CostTables' object has no attribute 'garage_finish_costs'
916455050,75000,'CostTables' object has no attribute 'garage_finish_costs'
916455050,200000,'CostTables' object has no attribute 'garage_finish_costs'
908103260,15000,'CostTables' object has no attribute 'garage_finish_costs'
908103260,40000,'CostTables' object has no attribute 'garage_finish_costs'
908103260,75000,'CostTables' object has no attribute 'garage_finish_costs'
908103260,200000,'CostTables' object has no attribute 'garage_finish_costs'
903232190,15000,'CostTables' object has no attribute 'garage_finish_costs'
903232190,40000,'CostTables' object has no attribute 'garage_finish_costs'
903232190,75000,'CostTables' object has no attribute 'garage_finish_costs'
903232190,200000,'CostTables' object has no attribute 'garage_finish_costs'
903456110,15000,'CostTables' object has no attribute 'garage_finish_costs'
903456110,40000,'CostTables' object has no attribute 'garage_finish_costs'
903456110,75000,'CostTables' object has no attribute 'garage_finish_costs'
903456110,200000,'CostTables' object has no attribute 'garage_finish_costs'
906385010,15000,'CostTables' object has no attribute 'garage_finish_costs'
906385010,40000,'CostTables' object has no attribute 'garage_finish_costs'
906385010,75000,'CostTables' object has no attribute 'garage_finish_costs'
906385010,200000,'CostTables' object has no attribute 'garage_finish_costs'
908152070,15000,'CostTables' object has no attribute 'garage_finish_costs'
908152070,40000,'CostTables' object has no attribute 'garage_finish_costs'
908152070,75000,'CostTables' object has no attribute 'garage_finish_costs'
908152070,200000,'CostTables' object has no attribute 'garage_finish_costs'
903226150,15000,'CostTables' object has no attribute 'garage_finish_costs'
903226150,40000,'CostTables' object has no attribute 'garage_finish_costs'
903226150,75000,'CostTables' object has no attribute 'garage_finish_costs'
903226150,200000,'CostTables' object has no attribute 'garage_finish_costs'
903226160,15000,'CostTables' object has no attribute 'garage_finish_costs'
903226160,40000,'CostTables' object has no attribute 'garage_finish_costs'
903226160,75000,'CostTables' object has no attribute 'garage_finish_costs'
903226160,200000,'CostTables' object has no attribute 'garage_finish_costs'
534403370,15000,'CostTables' object has no attribute 'garage_finish_costs'
534403370,40000,'CostTables' object has no attribute 'garage_finish_costs'
534403370,75000,'CostTables' object has no attribute 'garage_finish_costs'
534403370,200000,'CostTables' object has no attribute 'garage_finish_costs'
905100080,15000,'CostTables' object has no attribute 'garage_finish_costs'
905100080,40000,'CostTables' object has no attribute 'garage_finish_costs'
905100080,75000,'CostTables' object has no attribute 'garage_finish_costs'
905100080,200000,'CostTables' object has no attribute 'garage_finish_costs'
911370500,15000,'CostTables' object has no attribute 'garage_finish_costs'
911370500,40000,'CostTables' object has no attribute 'garage_finish_costs'
911370500,75000,'CostTables' object has no attribute 'garage_finish_costs'
911370500,200000,'CostTables' object has no attribute 'garage_finish_costs'
534451050,15000,'CostTables' object has no attribute 'garage_finish_costs'
534451050,40000,'CostTables' object has no attribute 'garage_finish_costs'
534451050,75000,'CostTables' object has no attribute 'garage_finish_costs'
