pid,budget,price_base_reported,base_real,base_xgb,base_reg,diff_base_abs,diff_base_pct,opt_xgb,opt_reg,diff_opt_abs,diff_opt_pct,total_cost_model,roi_xgb_pct,roi_reg_pct
908275130,50000.0,182767.0,194003.0,182767.0,179238.0,-3529.0,-1.9308737354117538,223433.0,179238.0,-44195.0,-19.77997878558673,300.0,13455.333333333334,-1276.3333333333333
534151090,50000.0,295118.0,290918.0,295118.0,313185.0,18067.0,6.121957996462432,394271.0,314426.0,-79845.0,-20.251299233268487,25473.0,289.2474384642563,-24.202096337298315
527451380,50000.0,168684.0,187341.0,168684.0,178366.0,9682.0,5.7397263522325765,200253.0,178366.0,-21887.0,-10.929673962437517,5325.0,492.84507042253523,81.82159624413146
535475010,50000.0,225629.0,215879.0,225629.0,228887.0,3258.0,1.4439633203178668,267976.0,228887.0,-39089.0,-14.586754037675014,11700.0,261.9401709401709,-72.15384615384616
527302060,50000.0,279490.0,271626.0,279490.0,271715.0,-7775.0,-2.7818526602025115,357112.0,271806.0,-85306.0,-23.88774390107305,34917.0,122.30432167712002,-122.00647249190939
903227020,50000.0,188577.0,187890.0,188577.0,207177.0,18600.0,9.863344946626578,220080.0,207177.0,-12903.0,-5.862868047982552,4620.0,581.8831168831169,302.59740259740255
528188160,50000.0,254036.0,308666.0,254036.0,311952.0,57916.0,22.79834354186021,382772.0,309861.0,-72911.0,-19.04815399245504,37004.0,247.89752459193602,50.86206896551724
907253110,50000.0,338473.0,342665.0,338473.0,350575.0,12102.0,3.575469830680734,463355.0,350575.0,-112780.0,-24.339868998931706,40855.0,205.67127646554889,-70.37816668706401
916455170,50000.0,309716.0,315450.0,309716.0,322738.0,13022.0,4.204497023079208,408820.0,341655.0,-67165.0,-16.428990753877013,34095.0,190.67018624431736,-6.323507845725179
909455060,50000.0,230394.0,308666.0,230394.0,232421.0,2027.0,0.8797972169414134,274720.0,232421.0,-42299.0,-15.3971316249272,6405.0,592.0530835284934,-68.35284933645589
905227050,50000.0,192649.0,226560.0,192649.0,218434.0,25785.0,13.384445286505512,235432.0,218434.0,-16998.0,-7.219919127391348,3604.0,1087.0976692563818,615.4550499445061
