Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,FunctioNo aplical,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,SalePrice_Present
246,906201120,20,RL,83.0,11980,Pave,No aplica,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,1Story,7,5,1987,1987,Gable,CompShg,Plywood,Plywood,BrkFace,177.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,1433.0,Unf,0.0,0.0,1433.0,GasA,Ex,Y,SBrkr,1433,0,0,1433,1.0,0.0,1,1,1,1,Gd,4,Typ,2,TA,Attchd,1987,RFn,2.0,528.0,Gd,Gd,Y,0,278,0,0,266,0,No aplica,MnPrv,No aplica,0,6,2010,WD ,Normal,270000,396330.2752293578
299,909455030,120,RM,35.0,3907,Pave,No aplica,IR1,HLS,AllPub,Inside,Mod,Blueste,Norm,Norm,TwnhsE,1Story,8,6,1989,1989,Gable,CompShg,HdBoard,HdBoard,No aplica,0.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,747.0,Unf,0.0,235.0,982.0,GasA,Gd,Y,SBrkr,1034,0,0,1034,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,1989,Fin,2.0,598.0,TA,TA,Y,141,36,0,0,0,0,No aplica,No aplica,No aplica,0,4,2010,WD ,Normal,185000,271559.63302752294
301,909475140,20,RL,100.0,15602,Pave,No aplica,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,7,8,1959,1997,Gable,CompShg,BrkFace,Wd Sdng,No aplica,0.0,TA,TA,CBlock,TA,TA,No,ALQ,1247.0,Unf,0.0,254.0,1501.0,GasA,TA,Y,SBrkr,1801,0,0,1801,1.0,0.0,2,0,1,1,TA,6,Typ,2,TA,Attchd,1959,Fin,2.0,484.0,TA,TA,Y,0,54,0,0,161,0,No aplica,GdWo,No aplica,0,3,2010,WD ,Normal,289000,424220.1834862385
472,528228450,120,RL,43.0,3182,Pave,No aplica,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,No,GLQ,16.0,Unf,0.0,1330.0,1346.0,GasA,Ex,Y,SBrkr,1504,0,0,1504,0.0,0.0,2,0,1,1,Gd,7,Typ,1,Gd,Attchd,2005,Fin,2.0,457.0,TA,TA,Y,156,0,0,0,0,0,No aplica,No aplica,No aplica,0,5,2009,WD ,Normal,181000,269941.5095658658
766,904301375,30,RL,65.0,10020,Pave,No aplica,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,No aplica,0.0,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,350.0,Unf,0.0,333.0,683.0,GasA,Gd,N,FuseA,904,0,0,904,1.0,0.0,0,1,1,1,Fa,4,Maj1,0,No aplica,No aplica,0,No aplica,0.0,0.0,No aplica,No aplica,Y,0,0,0,0,0,0,No aplica,No aplica,No aplica,0,3,2009,WD ,Normal,61000,90974.76289236362
878,907290180,120,RM,70.0,4435,Pave,No aplica,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,Av,GLQ,685.0,Unf,0.0,163.0,848.0,GasA,Ex,Y,SBrkr,848,0,0,848,1.0,0.0,1,0,1,1,Gd,4,Typ,0,No aplica,Attchd,2003,Fin,2.0,420.0,TA,TA,Y,140,0,0,0,0,0,No aplica,No aplica,No aplica,0,6,2009,WD ,Normal,144000,214760.09600820264
908,909175080,30,RL,60.0,8400,Pave,No aplica,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,2,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,No aplica,0.0,TA,TA,CBlock,TA,Fa,No,Rec,290.0,Unf,0.0,0.0,290.0,GasA,TA,N,FuseF,438,0,0,438,0.0,0.0,1,0,1,1,Fa,3,Typ,0,No aplica,Detchd,1930,Unf,1.0,246.0,TA,TA,N,0,0,0,0,0,0,No aplica,No aplica,No aplica,0,1,2009,WD ,Normal,60000,89483.3733367511
976,923226270,180,RM,21.0,1526,Pave,No aplica,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,8,1970,2002,Gable,CompShg,CemntBd,CmentBd,No aplica,0.0,TA,Gd,CBlock,Gd,TA,Av,GLQ,515.0,Unf,0.0,115.0,630.0,GasA,TA,Y,SBrkr,630,0,0,630,1.0,0.0,1,0,1,1,Gd,3,Typ,0,No aplica,Attchd,1970,Unf,1.0,286.0,TA,TA,Y,0,0,0,0,0,0,No aplica,No aplica,No aplica,0,5,2009,WD ,Normal,86000,128259.50178267655
983,923275040,85,RL,74.0,9101,Pave,No aplica,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,0.0,0.0,1097.0,GasA,Ex,Y,SBrkr,1110,0,0,1110,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,1978,Fin,2.0,602.0,TA,TA,Y,303,30,0,0,0,0,No aplica,No aplica,No aplica,0,7,2009,WD ,Normal,165500,246824.97145387175
1000,527127140,120,RL,41.0,4923,Pave,No aplica,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2002,Gable,CompShg,CemntBd,CmentBd,No aplica,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1153.0,Unf,0.0,440.0,1593.0,GasA,Ex,Y,SBrkr,1593,0,0,1593,1.0,0.0,1,1,0,1,Ex,5,Typ,1,Gd,Attchd,2001,Fin,2.0,682.0,TA,TA,Y,0,120,0,0,224,0,No aplica,No aplica,No aplica,0,8,2008,WD ,Normal,286000,425172.1222369852
