combo,count
1st Flr SF + Bedroom AbvGr,2
Bsmt Unf SF + Exter Cond + Kitchen Qual,2
Bsmt Unf SF + BsmtFin SF 1 + Kitchen Qual,2
Bsmt Unf SF + BsmtFin SF 1 + Low Qual Fin SF,2
Bsmt Unf SF + BsmtFin SF 1 + Utilities,2
Bsmt Unf SF + Exter Cond + Exter Qual,2
Bsmt Unf SF + Exter Cond + Fireplace Qu,2
Bsmt Unf SF + Exter Cond + Garage Cars,2
Bsmt Unf SF + Exter Cond + Garage Cond,2
Bsmt Unf SF + Exter Cond + Garage Qual,2
Bsmt Unf SF + Exter Cond + Gr Liv Area,2
Bsmt Unf SF + Exter Cond + Heating QC,2
Bsmt Unf SF + Exter Cond + Low Qual Fin SF,2
Bsmt Unf SF + BsmtFin SF 1 + Gr Liv Area,2
Bsmt Unf SF + Exter Cond + Utilities,2
Bsmt Unf SF + Exter Qual + Fireplace Qu,2
Bsmt Unf SF + Exter Qual + Garage Cars,2
Bsmt Unf SF + Exter Qual + Garage Cond,2
Bsmt Unf SF + Exter Qual + Garage Qual,2
Bsmt Unf SF + Exter Qual + Gr Liv Area,2
Bsmt Unf SF + Exter Qual + Heating QC,2
Bsmt Unf SF + Exter Qual + Kitchen Qual,2
Bsmt Unf SF + Exter Qual + Low Qual Fin SF,2
Bsmt Unf SF + Exter Qual + Utilities,2
Bsmt Unf SF + BsmtFin SF 1 + Heating QC,2
Bsmt Unf SF + BsmtFin SF 1 + Garage Qual,2
1st Flr SF + Bsmt Cond,2
Bsmt Qual + Gr Liv Area + Low Qual Fin SF,2
Bsmt Qual + Garage Cond + Kitchen Qual,2
Bsmt Qual + Garage Cond + Low Qual Fin SF,2
Bsmt Qual + Garage Cond + Utilities,2
Bsmt Qual + Garage Qual + Gr Liv Area,2
Bsmt Qual + Garage Qual + Heating QC,2
Bsmt Qual + Garage Qual + Kitchen Qual,2
Bsmt Qual + Garage Qual + Low Qual Fin SF,2
Bsmt Qual + Garage Qual + Utilities,2
Bsmt Qual + Gr Liv Area + Heating QC,2
Bsmt Qual + Gr Liv Area + Kitchen Qual,2
Bsmt Qual + Gr Liv Area + Utilities,2
Bsmt Unf SF + BsmtFin SF 1 + Garage Cond,2
Bsmt Qual + Heating QC + Kitchen Qual,2
Bsmt Qual + Heating QC + Low Qual Fin SF,2
Bsmt Qual + Heating QC + Utilities,2
Bsmt Qual + Kitchen Qual + Low Qual Fin SF,2
Bsmt Qual + Kitchen Qual + Utilities,2
Bsmt Qual + Low Qual Fin SF + Utilities,2
Bsmt Unf SF + BsmtFin SF 1 + Exter Cond,2
Bsmt Unf SF + BsmtFin SF 1 + Exter Qual,2
Bsmt Unf SF + BsmtFin SF 1 + Fireplace Qu,2
Bsmt Unf SF + BsmtFin SF 1 + Garage Cars,2
Bsmt Unf SF + Fireplace Qu + Garage Cars,2
Bsmt Unf SF + Fireplace Qu + Garage Cond,2
Bsmt Unf SF + Fireplace Qu + Garage Qual,2
BsmtFin SF 1 + Exter Cond + Garage Cond,2
Bsmt Unf SF + Gr Liv Area + Utilities,2
Bsmt Unf SF + Heating QC + Kitchen Qual,2
Bsmt Unf SF + Heating QC + Low Qual Fin SF,2
Bsmt Unf SF + Heating QC + Utilities,2
Bsmt Unf SF + Kitchen Qual + Low Qual Fin SF,2
Bsmt Unf SF + Kitchen Qual + Utilities,2
Bsmt Unf SF + Low Qual Fin SF + Utilities,2
BsmtFin SF 1 + Exter Cond + Exter Qual,2
BsmtFin SF 1 + Exter Cond + Fireplace Qu,2
BsmtFin SF 1 + Exter Cond + Garage Cars,2
BsmtFin SF 1 + Exter Cond + Garage Qual,2
Bsmt Unf SF + Fireplace Qu + Gr Liv Area,2
BsmtFin SF 1 + Exter Cond + Gr Liv Area,2
BsmtFin SF 1 + Exter Cond + Heating QC,2
