col,n_props,n_changes,net_gain_mean,net_gain_median,net_gain_per_cost_mean,net_gain_per_cost_median
1st Flr SF,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Garage Cars,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Low Qual Fin SF,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Kitchen Qual,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Heating QC,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Gr Liv Area,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Garage Qual,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Garage Cond,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Fireplace Qu,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Bedroom AbvGr,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Exter Qual,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Exter Cond,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
BsmtFin SF 1,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Bsmt Unf SF,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Bsmt Qual,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Bsmt Cond,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
Utilities,2,2,74311.45078982254,74311.45078982254,1.781111898527509,1.781111898527509
