neighborhood,pid,base_price,base_bedrooms,percentile_target,percentile_actual,fallback_min_bed
Blmngtn,528228450,269941.5095658658,1.0,0.5,0.35714285714285715,False
Blueste,909455030,271559.63302752294,1.0,0.5,0.9,False
BrDale,527450520,149404.88910775178,2.0,0.5,0.3333333333333333,True
BrkSide,903235100,101833.183123194,1.0,0.5,0.056074766355140186,False
ClearCr,905202230,349354.71582409623,1.0,0.5,0.6363636363636364,False
CollgCr,907290180,214760.09600820264,1.0,0.5,0.15413533834586465,False
Crawfor,909475140,424220.1834862385,1.0,0.5,0.883495145631068,False
Edwards,904301375,90974.76289236362,1.0,0.5,0.02072538860103627,False
Gilbert,527226010,268309.866142748,2.0,0.5,0.3151515151515151,True
Greens,533253090,301650.1453675865,1.0,0.5,0.5,False
GrnHill,916253320,509298.5569874218,1.0,0.5,1.0,False
IDOTRR,910206010,105106.87553051932,1.0,0.5,0.1956521739130435,False
Landmrk,907230240,217505.63113347028,3.0,0.5,1.0,True
MeadowV,923226270,128259.50178267655,1.0,0.5,0.3783783783783784,False
Mitchel,923275040,246824.97145387175,1.0,0.5,0.6228070175438597,False
NPkVill,527452150,208126.21368244028,2.0,0.5,0.34782608695652173,True
NWAmes,527328010,268309.866142748,2.0,0.5,0.3969465648854962,True
No aplicames,534226060,231794.3222298296,1.0,0.5,0.6817155756207675,False
NoRidge,528346050,520315.5342061008,2.0,0.5,0.7464788732394366,True
NridgHt,528186030,407332.732492776,1.0,0.5,0.3151515151515151,False
OldTown,535377100,137965.25069706983,1.0,0.5,0.14705882352941177,False
SWISU,909175080,89483.3733367511,1.0,0.5,0.020833333333333332,False
Sawyer,905200490,230206.6898857897,0.0,0.5,0.7549668874172185,False
SawyerW,906201120,396330.2752293578,1.0,0.5,0.928,False
Somerst,533208050,312763.571775866,1.0,0.5,0.35555555555555557,False
StoneBr,527127140,425172.1222369852,0.0,0.5,0.43137254901960786,False
Timber,916226090,376572.26637857856,2.0,0.5,0.5492957746478874,True
Veenker,533250190,431669.1102708542,1.0,0.5,0.75,False
