rep,R2_xgb,R2_reg,RMSE_xgb,RMSE_reg,MAE_xgb,MAE_reg,MAPE_xgb,MAPE_reg,pct_xgb_wins_mean,mean_abs_err_xgb,mean_abs_err_reg,mean_abs_err_diff
1,0.9415800375592085,0.8969077741114923,28702.345198774878,38192.07426663167,18832.67280209278,26695.117297908368,7.599597658555226,10.942277673089801,64.91479546203456,18832.67280209278,26695.117297908368,7862.444495815589
2,0.9406481300368552,0.898101529651545,28955.58915594595,38163.738815268516,18791.198580950942,26565.990712834137,7.5511319443743,10.878516780907583,64.74426870027773,18791.198580950942,26565.990712834137,7774.792131883197
3,0.9421505120775482,0.8977890498247021,28633.415030680982,38102.251597232345,18688.867583688872,26577.880033926474,7.559450767732249,10.867988600628705,64.74521018688509,18688.867583688872,26577.880033926474,7889.012450237598
4,0.9422112804006677,0.8982556871978128,28732.98557330667,38145.69397402443,18920.39572004978,26691.254908921528,7.647463700581051,10.864504778502077,64.19691192392789,18920.39572004978,26691.254908921528,7770.859188871749
5,0.9380289558233036,0.897202921800303,29551.768284978858,38253.30693035835,19160.068721531643,26618.5401202927,7.738958528787466,10.906506081782004,64.67424563385586,19160.068721531643,26618.5401202927,7458.471398761059
6,0.9392425705697501,0.8973589001066665,29212.46792652618,38143.81505019025,18907.005434380382,26619.973964611396,7.621997923966868,10.917325062349017,63.746410582309466,18907.005434380382,26619.973964611396,7712.968530231013
7,0.9411201072324357,0.8963032856083739,28907.600788829965,38472.021865879,18685.469901753953,26763.894298126666,7.514416888049128,10.959485985344,64.9876429882785,18685.469901753953,26763.894298126666,8078.42439637271
8,0.9414668136153811,0.8976248553195617,28861.363660532377,38237.156352319864,18817.508395528792,26680.458514787715,7.563146782922725,10.80904988858548,63.678152803276376,18817.508395528792,26680.458514787715,7862.950119258923
9,0.9395913967641881,0.8970676761557849,29166.476324586976,38248.73176311351,18864.91912294206,26739.150551385606,7.598495999231995,10.949153658124859,63.54140187355834,18864.91912294206,26739.150551385606,7874.231428443544
10,0.9412747480450957,0.898810253656243,28731.52387765406,38076.84258644523,18822.906942078043,26672.84598198479,7.618985910366755,10.850887999686263,64.09040625147107,18822.906942078043,26672.84598198479,7849.939039906743
