rep,R2_xgb,R2_reg,RMSE_xgb,RMSE_reg,MAE_xgb,MAE_reg,MAPE_xgb,MAPE_reg,pct_xgb_wins_mean,mean_abs_err_xgb,mean_abs_err_reg,mean_abs_err_diff
1,0.9416493952971324,-1.2641004161230862e+16,28650.9829355407,4350426794911.005,18823.40419233712,346792772502.96765,7.5675694286329245,93735404.62876968,63.92035023301794,18823.40419233712,346792772502.96765,346792753679.56354
2,0.940616112141384,-1.2812622634220324e+18,28968.016172717238,61825921235415.85,18895.58438983084,3622705420546.949,7.592066970961757,944575038.6662652,63.40594548792543,18895.58438983084,3622705420546.949,3622705401651.3647
3,0.9418789573126383,-6.162859622911986e+18,28678.89524373458,111445553419590.97,18798.330091653632,8786073212383.328,7.578583781810759,2437025430.0019193,63.81772819281646,18798.330091653632,8786073212383.328,8786073193584.997
4,0.9413545081395494,-3.408011087310975e+17,28909.674354079973,31742665191861.312,19005.682745927043,2457195624315.247,7.615270022447224,4402083037.127833,63.47549781104364,19005.682745927043,2457195624315.247,2457195605309.564
5,0.9377128471770794,-7.165672748306772e+17,29622.453272976923,51687538025630.266,19111.849694578428,3028532496301.994,7.718948662726264,930309796.6306282,63.43901520500871,19111.849694578428,3028532496301.994,3028532477190.145
6,0.9406990056835911,-7.837762978782262e+16,28883.43039225295,16585222978539.629,19094.728324808882,971952809341.6614,7.689553627209638,279940427.79198796,63.78148095843337,19094.728324808882,971952809341.6614,971952790246.9332
7,0.9400327015838629,-2.8846971000332186e+17,29164.64419688161,28840489577342.01,18861.164377817,1749993664588.1108,7.542610778909177,446868440.85453665,64.23009932683706,18861.164377817,1749993664588.1108,1749993645726.9465
8,0.9414862860860559,-1.2067828272752202e+17,28860.136277301266,15110325331544.562,18907.191742859795,1385671184373.631,7.647180872365695,2990793570.4514594,63.54022501529916,18907.191742859795,1385671184373.631,1385671165466.4395
9,0.9407331965069163,-2.317646944995564e+17,28915.457908201457,24215105591035.945,18864.737534474134,1417081893982.927,7.603033954571364,374873093.4810464,64.77827990396835,18864.737534474134,1417081893982.927,1417081875118.1895
10,0.9413711044647292,-1.902519945519565e+17,28724.55845961291,27987699485543.21,18885.417183984246,2213036259882.1,7.61998545681651,3536568098.995288,63.919291060584655,18885.417183984246,2213036259882.1,2213036240996.6826
