rep,R2_xgb,R2_reg,RMSE_xgb,RMSE_reg,MAE_xgb,MAE_reg,MAPE_xgb,MAPE_reg,pct_xgb_wins_mean,mean_abs_err_xgb,mean_abs_err_reg,mean_abs_err_diff
1,0.9292364415206933,0.8592911668989676,31920.90321856374,42663.17194194794,19583.494527793286,24581.58209369211,7.760866488161757,9.960070897728034,58.677357520220674,19583.494527793286,24581.58209369211,4998.087565898827
2,0.9332991620551405,0.8615119362635257,31317.36755086786,43798.004791440544,19420.124372740152,24378.254995793137,7.742906777805172,9.995408417997377,58.2674505586984,19420.124372740152,24378.254995793137,4958.130623052981
3,0.9285645316692943,0.8649013000559233,32332.36632312034,42637.7918737609,19508.254546048825,24359.245463022817,7.737710001775843,9.949509122608323,57.61699939221095,19508.254546048825,24359.245463022817,4850.99091697399
4,0.9330856747264017,0.8610554742964153,31470.677965791932,44157.90202542476,19658.064586354118,24821.848459153534,7.76616267070862,10.157046526171307,57.858128009724624,19658.064586354118,24821.848459153534,5163.7838727994185
5,0.9324444479048051,0.853622998516826,31506.749776095134,44048.909155487854,19605.780831436703,24374.67264229858,7.785806050864563,9.87243426969372,58.50729346860536,19605.780831436703,24374.67264229858,4768.891810861881
6,0.9306576637644259,0.854847968641983,31522.51127373029,44497.185466016716,19704.999682885507,24700.61969086999,7.878769616722273,10.085692871103593,57.924049745196136,19704.999682885507,24700.61969086999,4995.620007984481
7,0.9338910037862951,0.8491039124811526,31055.954943933786,44566.684206027145,19353.80375487539,24566.218898675175,7.683687454247332,10.043101287804387,58.78079854130628,19353.80375487539,24566.218898675175,5212.415143799783
8,0.9305038210225062,0.8547764170952634,31806.943487017194,43824.97103811527,19485.68657574834,24475.112315775976,7.6979554298516275,10.016091650605148,58.30321660666698,19485.68657574834,24475.112315775976,4989.425740027635
9,0.9326127232046041,0.8574721839749719,31390.63177203318,43465.65331405929,19614.20225663731,24466.286946415825,7.762783918219728,9.99197283237982,58.02889335639814,19614.20225663731,24466.286946415825,4852.084689778518
10,0.9332882270920726,0.8555676352374759,31107.07418695455,44420.873760801034,19629.82402854559,24574.219772168002,7.757202801578056,9.970302565127579,58.09598391696667,19629.82402854559,24574.219772168002,4944.395743622414
