neigh,lot,budget,status,runtime_s,gap,y_price,y_price_out,y_log_in,y_log_out,cost,obj,floor1,floor2,area_1st,area_2nd,bsmt,beds,fullbath,halfbath,kitchen
Blmngtn,7438.0,200000.0,2,107.66100001335144,0.0,207752.27965657445,,,,194479.32999867274,13272.949657901714,1.0,0.0,450.0,0.0,383.99999991187076,2.0,1.0,0.0,1.0
Blmngtn,9434.0,200000.0,2,108.80799984931946,0.0,207752.27965657445,,,,194479.32999867274,13272.949657901714,1.0,0.0,450.0,0.0,383.99999991187076,2.0,1.0,0.0,1.0
Blmngtn,11556.0,200000.0,2,139.23799991607666,0.0,207752.27965657445,,,,194479.32999867274,13272.949657901714,1.0,0.0,450.0,0.0,383.99999991187076,2.0,1.0,0.0,1.0
Blmngtn,7438.0,200000.0,2,111.65700006484985,0.0008250063074861124,207752.27965668382,,,,194479.32999999987,13272.949656683952,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Blmngtn,9434.0,200000.0,2,131.63700008392334,0.0008250063074861124,207752.27965668382,,,,194479.32999999987,13272.949656683952,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Blmngtn,7438.0,500000.0,9,300.07599997520447,5.017890225893132,207752.2796618847,,,,194479.32999999964,13272.949661885068,1.0,-0.0,450.0,0.0,384.0,2.0,1.0,-0.0,1.0
Blmngtn,11556.0,200000.0,2,129.79699993133545,0.0008250063074861124,207752.27965668382,,,,194479.32999999987,13272.949656683952,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Blmngtn,9434.0,500000.0,9,300.32999992370605,4.880177278620243,207752.2796618847,,,,194479.32999999964,13272.949661885068,1.0,-0.0,450.0,0.0,384.0,2.0,1.0,-0.0,1.0
Blmngtn,7438.0,500000.0,9,300.114000082016,11.434164884632892,205152.65169834538,,,,225202.5,-20049.848301654623,1.0,0.0,450.0,0.0,156.0,2.0,1.0,0.0,1.0
Somerst,7438.0,200000.0,2,72.23099994659424,0.0,208055.37755227153,269365.46875,12.245486890740978,12.503828048706055,194479.3299999999,13576.04755227163,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,9434.0,200000.0,2,68.12299990653992,0.0,208055.37755227153,269365.46875,12.245486890740978,12.503828048706055,194479.3299999999,13576.04755227163,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,11556.0,200000.0,2,71.27199983596802,0.0,208055.37755227153,269365.46875,12.245486890740978,12.503828048706055,194479.3299999999,13576.04755227163,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,7438.0,500000.0,9,300.05399990081787,8.0254828407514,208348.3456722578,267052.15625,12.246920968697376,12.495203018188477,195216.8299999969,13131.515672260895,1.0,-0.0,450.0,0.0,383.99999999999676,2.0,1.0,-0.0,1.0
Somerst,9434.0,500000.0,9,300.0479998588562,8.0254828407514,208348.3456722578,267052.15625,12.246920968697376,12.495203018188477,195216.8299999969,13131.515672260895,1.0,-0.0,450.0,0.0,383.99999999999676,2.0,1.0,-0.0,1.0
