neigh,lot,budget,status,runtime_s,gap,y_price,cost,obj,floor1,floor2,area_1st,area_2nd,bsmt,beds,fullbath,halfbath,kitchen
NWAmes,7000.0,250000.0,9,60.04099988937378,0.06284566860703124,353184.29247730813,224541.8299999998,128642.46247730832,1.0,-0.0,450.0,0.0,2223.0000000000027,2.0,1.0,-0.0,2.0
NAmes,6000.0,200000.0,2,53.21000003814697,0.0,305597.83856418775,199847.5,105750.33856418781,1.0,0.0,450.0,0.0,1218.0,2.0,1.0,0.0,2.0
NAmes,9000.0,200000.0,2,59.085999965667725,0.0,305597.83856418775,199847.5,105750.33856418781,1.0,0.0,450.0,0.0,1218.0,2.0,1.0,0.0,2.0
NAmes,6000.0,300000.0,9,60.06399989128113,0.17883700221082088,368999.96665462264,244582.82999999783,124417.1366546248,1.0,-0.0,450.0,0.0,2223.000000000008,2.0,1.0,-0.0,2.0
NAmes,9000.0,300000.0,9,60.04099988937378,0.18665084097665108,339754.7067578167,216156.82999999978,123597.87675781694,1.0,-0.0,450.0,0.0,1664.0,2.0,1.0,0.0,2.0
NAmes,6000.0,500000.0,9,60.05399990081787,1.484119958328172,339251.38735554635,217106.8299999997,122144.55735554665,1.0,-0.0,450.0,0.0,1642.0,2.0,1.0,0.0,2.0
NAmes,9000.0,500000.0,9,60.050999879837036,0.7036838551377634,339251.38735554635,217106.8299999997,122144.55735554665,1.0,-0.0,450.0,0.0,1642.0,2.0,1.0,0.0,2.0
NWAmes,6000.0,200000.0,2,55.14200019836426,0.0,305597.83856418775,199847.5,105750.33856418781,1.0,0.0,450.0,0.0,1218.0,2.0,1.0,0.0,2.0
NWAmes,9000.0,200000.0,2,55.75099992752075,0.0,305597.83856418775,199847.5,105750.33856418781,1.0,0.0,450.0,0.0,1218.0,2.0,1.0,0.0,2.0
NWAmes,6000.0,300000.0,9,60.045000076293945,0.15497294293116332,351529.6744298178,224541.82999999955,126987.84442981827,1.0,0.0,450.0,0.0,2223.0,2.0,1.0,0.0,2.0
NWAmes,9000.0,300000.0,9,60.075000047683716,0.16569125640859272,349057.0449079024,223236.83,125820.21490790244,1.0,0.0,450.0,0.0,2136.0,2.0,1.0,0.0,2.0
NWAmes,6000.0,500000.0,9,60.07200002670288,1.484119958328172,339251.38735554635,217106.8299999997,122144.55735554665,1.0,-0.0,450.0,0.0,1642.0,2.0,1.0,0.0,2.0
NWAmes,9000.0,500000.0,9,60.02899980545044,0.6633997621253859,337571.7073815312,215271.8299999994,122299.87738153178,1.0,-0.0,450.0,0.0,1604.9999999999986,2.0,1.0,-0.0,2.0
NridgHt,6000.0,200000.0,2,59.67900013923645,0.0,305597.83856418775,199847.5,105750.33856418781,1.0,0.0,450.0,0.0,1218.0,2.0,1.0,0.0,2.0
NridgHt,9000.0,200000.0,2,58.276000022888184,0.0,305597.83856418775,199847.5,105750.33856418781,1.0,0.0,450.0,0.0,1218.0,2.0,1.0,0.0,2.0
NridgHt,6000.0,300000.0,9,60.05299997329712,0.16696184735541236,348920.0515465935,223236.8300000003,125683.22154659318,1.0,-0.0,450.0,0.0,2136.000000000051,2.0,1.0,-0.0,2.0
NridgHt,9000.0,300000.0,9,60.087000131607056,0.19440276456992608,338067.5307035252,215271.82999999978,122795.70070352539,1.0,-0.0,450.0,0.0,1605.0,2.0,1.0,0.0,2.0
NridgHt,6000.0,500000.0,9,60.09099984169006,4.117856799007123,351986.88657657616,267745.1899999975,84241.69657657866,1.0,-0.0,575.9999999999895,0.0,1605.0,2.0,1.0,-0.0,2.0
NridgHt,9000.0,500000.0,9,60.0310001373291,1.484119958328172,339251.38735554635,217106.8299999997,122144.55735554665,1.0,-0.0,450.0,0.0,1642.0,2.0,1.0,0.0,2.0
