neigh,lot,budget,status,runtime_s,gap,y_price,y_price_out,y_log_in,y_log_out,cost,obj,floor1,floor2,area_1st,area_2nd,bsmt,beds,fullbath,halfbath,kitchen
Somerst,7438.0,250000.0,2,126.95300006866455,0.0,174318.34990587368,286669.46875,12.068572247045413,12.566088676452637,192171.32999999987,-17852.980094126193,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,9434.0,250000.0,2,179.50999999046326,0.0,174318.34990587368,286669.46875,12.068572247045413,12.566088676452637,192171.32999999987,-17852.980094126193,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,11556.0,250000.0,2,140.48300004005432,0.0,174318.34990587368,286669.46875,12.068572247045413,12.566088676452637,192171.32999999987,-17852.980094126193,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,7438.0,500000.0,9,300.06500005722046,0.6536216709046957,174275.52967923126,286669.46875,12.068322002317442,12.566088676452637,192171.32999999975,-17895.800320768496,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,9434.0,500000.0,9,300.0640001296997,0.6200262199255748,174275.52967923126,286669.46875,12.068322002317442,12.566088676452637,192171.32999999975,-17895.800320768496,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,11556.0,500000.0,9,300.04500007629395,0.6113759251881198,174275.52967923126,286669.46875,12.068322002317442,12.566088676452637,192171.32999999975,-17895.800320768496,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
CollgCr,7438.0,250000.0,2,105.37800002098083,0.0,174781.7919837677,287447.78125,12.071280638518473,12.56879997253418,192381.32999999984,-17599.538016232138,1.0,0.0,450.0,0.0,398.0,2.0,1.0,0.0,1.0
CollgCr,9434.0,250000.0,2,95.6579999923706,0.0,174781.7919837677,287447.78125,12.071280638518473,12.56879997253418,192381.32999999984,-17599.538016232138,1.0,0.0,450.0,0.0,398.0,2.0,1.0,0.0,1.0
CollgCr,11556.0,250000.0,2,99.20899987220764,0.0,174781.7919837677,287447.78125,12.071280638518473,12.56879997253418,192381.32999999984,-17599.538016232138,1.0,0.0,450.0,0.0,398.0,2.0,1.0,0.0,1.0
CollgCr,7438.0,500000.0,9,300.0739998817444,0.14505376902970982,174781.79198552764,287447.78125,12.07128063852876,12.56879997253418,192381.3299999984,-17599.538014470745,1.0,0.0,450.0,0.0,398.0,2.0,1.0,0.0,1.0
CollgCr,9434.0,500000.0,9,300.05200004577637,0.1984222584386056,174781.79198552764,287447.78125,12.07128063852876,12.56879997253418,192381.3299999984,-17599.538014470745,1.0,0.0,450.0,0.0,398.0,2.0,1.0,0.0,1.0
CollgCr,11556.0,500000.0,9,300.0659999847412,0.17523641167481063,174781.79198552764,287447.78125,12.07128063852876,12.56879997253418,192381.3299999984,-17599.538014470745,1.0,0.0,450.0,0.0,398.0,2.0,1.0,0.0,1.0
