,objective_mip,objective_mip,objective_mip,objective_mip,objective_mip,objective_mip,roi,roi,roi,roi,roi,roi,roi_pct,roi_pct,roi_pct,roi_pct,roi_pct,roi_pct,pct_net_improve,pct_net_improve,pct_net_improve,pct_net_improve,pct_net_improve,pct_net_improve,uplift_pct,uplift_pct,uplift_pct,uplift_pct,uplift_pct,uplift_pct,delta_price,delta_price,delta_price,delta_price,delta_price,delta_price,budget_used,budget_used,budget_used,budget_used,budget_used,budget_used
,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max
neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blmngtn,3,118569.35666666667,128717.18,31058.11716977436,83706.64,143284.25,3,118569.33333333333,128717.0,31057.78624328098,83707.0,143284.0,3,333.0,277.0,204.8243149628481,162.0,560.0,3,37.333333333333336,39.0,9.609023536933048,27.0,46.0,3,62.0,65.0,24.63736998950984,36.0,85.0,3,168543.0,175216.0,66797.95246113461,98659.0,231754.0,3,49973.756666666675,46499.0,36881.8330144752,14952.27,88470.0
BrkSide,12,53817.980833333335,55850.185,12933.586663452119,34646.08,68551.46,12,53818.0,55850.5,12933.50566270695,34646.0,68551.0,12,2036.3333333333333,479.0,5527.227816304781,207.0,19576.0,12,28.25,27.0,2.800162332956625,24.0,32.0,12,39.916666666666664,38.0,5.6481426284678,32.0,48.0,12,66326.58333333333,64036.0,11406.118824069292,51409.0,78290.0,12,12508.566666666666,11063.839999999998,5411.462087057491,300.0,19000.0
ClearCr,6,96688.69166666667,91510.52,38763.24893891864,61683.79,136933.92,6,96688.83333333333,91510.5,38763.200705910065,61684.0,136934.0,6,666.6666666666666,582.0,544.1969006404453,239.0,1730.0,6,26.5,26.0,2.810693864511039,22.0,30.0,6,36.333333333333336,35.0,5.00666222813829,29.0,43.0,6,120694.33333333333,100316.0,57615.36499464935,72282.0,194147.0,6,24005.559999999998,10598.06,22392.527045869567,7013.0599999999995,57213.06
CollgCr,24,123154.09999999999,125640.305,27246.656218992557,70109.74,155926.75,24,123154.16666666667,125640.5,27246.584825747734,70110.0,155927.0,24,1709.0,315.0,3434.208028441011,132.0,16175.0,24,31.5,32.0,5.956363057232594,23.0,44.0,24,47.041666666666664,47.5,12.889089307953677,30.0,77.0,24,162331.08333333334,171179.0,55949.99094682031,72540.0,267057.0,24,39176.90083333333,43868.095,32828.99765532241,691.1500000000015,115091.95
Crawfor,9,77746.00111111111,74034.09,8118.311028723036,70868.92,89464.88,9,77746.0,74034.0,8118.330970710668,70869.0,89465.0,9,1708.888888888889,544.0,1885.5323150535264,262.0,4218.0,9,28.22222222222222,30.0,7.429296362674221,19.0,37.0,9,40.44444444444444,42.0,13.983124750132845,24.0,59.0,9,92094.88888888889,87634.0,20214.500089319827,72549.0,123565.0,9,14348.888888888889,13600.0,12569.614596761156,1680.0,34100.0
Edwards,18,82408.3711111111,79262.41,12184.406857932552,71062.0,105436.76,18,82408.27777777778,79262.0,12184.559616003675,71062.0,105437.0,18,1213599.2222222222,772.0,2787643.5622994336,393.0,7271334.0,18,35.0,32.0,7.631205286037525,27.0,46.0,18,55.388888888888886,47.0,19.060704538823842,36.0,83.0,18,92733.61111111111,89780.0,20688.14945563505,71984.0,132237.0,18,10325.275555555556,10650.5,8803.911732410383,1.0,26799.9
Gilbert,9,84223.96111111112,90538.21,8912.982150022015,67652.24,91736.25,9,84223.88888888889,90538.0,8912.916111526638,67652.0,91736.0,9,387.3333333333333,423.0,206.11404610069638,112.0,648.0,9,29.555555555555557,30.0,3.7785946829182113,23.0,36.0,9,41.888888888888886,42.0,7.457285773732364,30.0,55.0,9,114425.44444444444,113416.0,20276.000376745356,78572.0,146847.0,9,30201.493333333332,21680.0,19235.947185693767,10920.0,69170.0
IDOTRR,12,73159.625,71098.42,9818.003784514261,62848.68,87593.04,12,73159.75,71098.5,9817.853219564298,62849.0,87593.0,12,515.0,550.5,87.25198617171469,377.0,582.0,12,33.0,28.5,8.453079051715147,28.0,47.0,12,52.25,40.5,22.17338699678267,39.0,89.0,12,87690.5,87225.0,10845.439523345536,73649.0,102663.0,12,14530.62,14742.33,2619.456720064471,10800.0,17837.820000000007
