PID,Lot Frontage,Lot Area,Year Built,Year Remod/Add,Total Bsmt SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Fireplaces,Garage Cars,Wood Deck SF,SalePrice,SalePrice_Present,TotalPorch,Overall Qual,Overall Cond,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating QC,Kitchen Qual,Fireplace Qu,Garage Finish,Garage Qual,MS SubClass,MS Zoning,Lot Shape,Lot Config,Neighborhood,Condition 1,Roof Style,Exterior 1st,Foundation,Central Air,Garage Type,Sale Type,Sale Condition,Alley_simplificado,Land_Contour_simplificado,Land_Slope_simplificado,Roof_Matl_simplificado,Electrical_simplificado,FunctioNo aplical_simplificado,Paved_Drive_simplificado,PoolQC_simplificado,Fence_simplificado,Misc_Feature_simplificado
526301100,141.0,31770,1960,1960,1080.0,0,1656,1.0,0.0,1,0,3,1,2,2.0,210,215000,314620.71740840335,62,6,5,3,3,4,4,4,1,2,3,4,3,3,20,RL,IR1,Corner,No aplicames,Norm,Hip,BrkFace,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,0,0,0,0
526350040,80.0,11622,1961,1961,882.0,0,896,0.0,0.0,1,0,2,1,0,1.0,140,105000,153651.97826922024,120,5,6,3,3,3,1,3,2,3,3,0,1,3,20,RH,Reg,Inside,No aplicames,Feedr,Gable,VinylSd,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,1,0
526351010,81.0,14267,1958,1958,1329.0,0,1329,0.0,0.0,1,1,3,1,0,1.0,393,172000,251696.57392672263,36,6,6,3,3,3,1,5,1,3,4,0,1,3,20,RL,IR1,Corner,No aplicames,Norm,Hip,Wd Sdng,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,1
526353030,93.0,11160,1968,1968,2110.0,0,2110,1.0,0.0,2,1,3,1,2,2.0,0,244000,357057.930454188,0,7,5,3,3,3,1,5,1,5,5,3,3,3,20,RL,Reg,Corner,No aplicames,Norm,Hip,BrkFace,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527105010,74.0,13830,1997,1998,928.0,0,1629,0.0,0.0,2,1,3,1,1,2.0,212,189900,277890.57784118975,34,5,5,3,4,3,1,6,1,4,3,3,3,3,60,RL,IR1,Inside,Gilbert,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,1,0
527105030,78.0,9978,1998,1998,926.0,0,1604,0.0,0.0,2,1,3,1,1,2.0,360,195500,286085.3500155482,36,6,6,3,3,3,1,6,1,5,4,4,3,3,60,RL,IR1,Inside,Gilbert,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527127150,41.0,4920,2001,2001,1338.0,0,1338,1.0,0.0,2,0,2,1,0,2.0,0,213500,312425.68914741446,170,8,5,3,4,3,2,6,1,5,4,0,3,3,120,RL,Reg,Inside,StoneBr,Norm,Gable,CemntBd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527145080,43.0,5005,1992,1992,1280.0,0,1280,0.0,0.0,2,0,2,1,0,2.0,0,191500,280231.94131957786,226,8,5,3,4,3,1,5,1,5,4,0,2,3,120,RL,IR1,Inside,StoneBr,Norm,Gable,HdBoard,PConc,Y,Attchd,WD ,Normal,0,0,1,1,1,1,1,0,0,0
527146030,39.0,5389,1995,1996,1595.0,0,1616,1.0,0.0,2,0,2,1,1,2.0,237,236500,346082.7891492437,152,8,5,3,4,3,1,6,1,5,4,3,2,3,120,RL,IR1,Inside,StoneBr,Norm,Gable,CemntBd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527162130,60.0,7500,1999,1999,994.0,0,1804,0.0,0.0,2,1,3,1,1,2.0,140,189000,276573.56088459643,60,7,5,3,3,3,1,1,1,4,4,3,3,3,60,RL,Reg,Inside,Gilbert,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527163010,75.0,10000,1993,1994,763.0,0,1655,0.0,0.0,2,1,3,1,1,2.0,157,175900,257403.6474052937,84,6,5,3,4,3,1,1,1,4,3,3,3,3,60,RL,IR1,Corner,Gilbert,Norm,Gable,HdBoard,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527165230,64.0,7980,1992,2007,1168.0,0,1187,1.0,0.0,2,0,3,1,0,2.0,483,185000,270720.1521886261,21,6,7,4,4,3,1,5,1,5,3,0,3,3,20,RL,IR1,Inside,Gilbert,Norm,Gable,HdBoard,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,1,1
527166040,63.0,8402,1998,1998,789.0,0,1465,0.0,0.0,2,1,3,1,1,2.0,0,180400,263988.7321882603,75,6,5,3,4,3,1,1,1,4,3,4,3,3,60,RL,IR1,Inside,Gilbert,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527180040,85.0,10176,1990,1990,1300.0,0,1341,1.0,0.0,1,1,2,1,1,2.0,192,171500,250964.8978397264,0,7,5,3,4,3,4,6,1,4,4,1,1,3,20,RL,Reg,Inside,Gilbert,Norm,Gable,HdBoard,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527182190,60.0,6820,1985,1985,1488.0,0,1502,1.0,0.0,1,1,1,1,0,2.0,0,212000,310230.66088642564,194,8,5,3,4,3,3,6,4,3,4,0,2,3,120,RL,IR1,Corner,StoneBr,Norm,Gable,HdBoard,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527216070,47.0,53504,2003,2003,1650.0,0,3279,1.0,0.0,3,1,4,1,1,3.0,503,538000,787283.4696080047,246,8,5,3,4,3,4,5,1,5,5,4,3,3,60,RL,IR2,CulDSac,StoneBr,Norm,Hip,CemntBd,PConc,Y,BuiltIn,WD ,Normal,0,0,0,1,1,0,1,0,0,0
527225035,152.0,12134,1988,2005,559.0,0,1752,0.0,0.0,2,0,4,1,0,2.0,325,164000,239989.7565347821,12,8,7,3,4,3,3,6,1,4,3,0,2,3,50,RL,IR1,Inside,Gilbert,Norm,Gable,Wd Sdng,Wood,Y,Basment,WD ,Normal,0,0,0,1,1,1,1,0,0,0
