rep,fold,R2,RMSE,MAE,MAPE
1,1,0.9395142450180701,28091.439986020614,18283.374327803394,7.328307791398027
1,2,0.9416156598943076,28509.177622475432,18335.747279128645,7.604263532016031
1,3,0.9368695553564476,32149.84185174196,21022.65663329668,7.950491119828965
1,4,0.9296591251041804,32506.408975127117,20841.308255353477,7.8143171957055575
1,5,0.9420487803537234,31868.783343698324,19108.46222743226,9.842658965749424
1,6,0.9110817887483634,39235.388642488986,21188.89324014363,7.677454523026318
1,7,0.9224773939012785,30207.06264344499,18001.935569486257,7.052669298005863
1,8,0.829877701062368,49573.72542782955,24126.87747898438,9.079738920012682
1,9,0.9541704268487119,23925.27865531141,17083.214126383693,6.958296027215062
1,10,0.944989561151073,30649.706196925978,19984.791337137358,7.419333448770544
2,1,0.9357585302819033,31585.875718408577,19480.536505972846,7.494095635983829
2,2,0.876043638425187,42799.097066041286,20794.242766053332,7.980287621903639
2,3,0.9472876512206305,28265.62216169549,17541.561716684504,6.989818543448278
2,4,0.9271967594528231,31706.3917077582,21669.327842986637,8.714537368483183
2,5,0.9277138779444785,33454.81532324533,21895.846084724362,8.988804323140961
2,6,0.9297314572522046,35983.01093625711,21319.255588116135,9.331032097582813
2,7,0.9283968555034022,30859.30367280792,19983.124743541473,7.388882113043667
2,8,0.9336236158720157,29148.9295768319,18814.21407200159,7.348319843063248
2,9,0.9270625308777207,32788.22334048284,19699.582064166265,7.741429342554346
2,10,0.9512577264239551,27203.010917551288,17530.35437567394,6.674424610286292
3,1,0.9161884170429393,40601.39665920587,23809.1382138374,8.860586552435283
3,2,0.9415695498322616,27555.930128360782,17832.096772454708,7.493954785337366
3,3,0.9489848608019218,28561.81035439956,18348.529626995467,7.072533385323789
3,4,0.8784494253261601,47083.6032140466,22889.045355155846,9.125380754480625
3,5,0.9368215561654507,27628.248345736956,19515.423032905608,7.908672893050514
3,6,0.9205550933921369,33991.60415847912,21744.983086432043,8.309576066404516
3,7,0.9561077486137096,21833.604415329733,16324.639974956151,6.625315799214036
3,8,0.9303020122067692,30500.738747915802,18655.899630399235,8.295028855566217
3,9,0.8976667085771992,39462.41606817353,20617.68694913994,7.3886886237201495
3,10,0.9379969944035373,31377.229809433506,20103.790574876573,7.849929276437519
4,1,0.9074358284173544,37432.778056698284,21076.696615224057,9.276827116263792
4,2,0.9475714830432838,24895.16936023494,17438.54152335097,7.772856966227773
4,3,0.9078426062203698,40327.017606191686,22398.853998013885,9.221507041347621
4,4,0.9583955507027667,21444.88305538433,16063.061695535405,6.744987593152461
4,5,0.923818175959478,35792.8212342875,22020.901071851786,7.8579536102908225
4,6,0.9217962483686394,33267.412997479485,19955.58431138405,7.589386621348222
4,7,0.9342842520922731,31537.147219302056,19998.291571313493,7.322771611906847
