rep,R2_mean,RMSE_mean,MAE_mean,MAPE_mean
1,0.9252304237438524,32671.681334506437,19797.726047514978,7.8727530821728475
2,0.9284072643254321,32379.428042107997,19872.804575992108,7.865163149949025
3,0.9264642366362086,32859.65819010815,19984.1233217153,7.892966699197001
4,0.9310232003923357,31941.04352756851,19867.66376118567,7.85393174231802
5,0.9296453187238516,32086.45277210691,19905.461471982617,7.895544883858125
6,0.927849264625255,32271.93987753163,19819.874255241302,7.855319685460979
7,0.9290621889050508,32227.45616454505,19892.697758182047,7.885764040982553
8,0.9277139773407743,32458.330957465427,19847.245890669576,7.868838648472604
9,0.9298966983571987,32069.86023304811,19782.552016988513,7.8574378669802005
10,0.9300026465734517,31891.255455225684,19987.87036212277,7.88215633127894
