rep,R2_mean,RMSE_mean,MAE_mean,MAPE_mean
1,0.9201661226136297,33522.922086803585,20001.050829994856,7.841785510275452
2,0.9269604593106197,32710.219326466584,19954.64430183277,7.904944713425069
3,0.9253579079880089,33131.77018371112,20020.489721582853,7.8974440183395105
4,0.9301416331145294,32122.904999077182,19972.34471749387,7.890644986572991
5,0.9289452161091771,32302.215100615,19902.857288482137,7.868021753603576
6,0.9281892948165187,32111.30020381096,19808.780051039514,7.890718723298829
7,0.9284050399702588,32381.333539465493,19909.751222231487,7.85517460953933
8,0.9264897407639193,32624.91707942533,19895.23357967491,7.882195283610905
9,0.9304318788593419,31864.18102196535,19671.55638437272,7.796358633485636
10,0.9290909180035445,31999.206756314838,19895.7960949783,7.839954775386531
