rep,R2_mean,RMSE_mean,MAE_mean,MAPE_mean
1,0.9276344146896877,32225.309923644538,19792.772135606956,7.829464405061716
2,0.932039351828936,31527.02141081855,19539.599479577166,7.745514060929423
3,0.9308909188374654,31882.90335363883,19315.33283269876,7.6449239631138735
4,0.9342614701152974,31174.62003503966,19671.25499802436,7.808322877088715
5,0.9313031597586985,31700.426831172466,19714.99626525594,7.815254203497074
6,0.930701348909864,31501.06127831722,19618.387489658904,7.8488523873930856
7,0.9319514269964936,31583.436570864334,19700.090168853483,7.83474688080253
8,0.9296681184358251,31848.12417102149,19668.141815933042,7.826174138013459
9,0.9333931189395278,31244.97504742625,19572.96189795041,7.762558783600191
10,0.93228131518638,31356.433924889825,19669.1299362731,7.788861095966729
