rep,fold,R2,RMSE,MAE,MAPE
1,1,0.9415504956504629,27614.54332072426,17785.383440541027,7.295410742488227
1,2,0.941868173279561,28447.459448428337,18297.809197169296,7.370289435208221
1,3,0.9441982435189357,30226.186076202666,20323.156074546838,7.677083990666402
1,4,0.9291296535081108,32628.521142569087,21039.588229344863,7.857232306743339
1,5,0.9401857126779491,32377.004057094186,19040.887140543953,9.382612893460085
1,6,0.9100668091381713,39458.684411338,21229.16289551127,7.779426270978496
1,7,0.9371350561851985,27201.85868146085,17510.31724627387,6.975755307396084
1,8,0.8497786446855484,46583.99961850661,24031.45547490285,9.077242368041524
1,9,0.9502976780219597,24915.66240272519,17473.53339354909,7.031823233979033
1,10,0.948153948541036,29755.113026588224,19103.652185549792,7.161788332656156
2,1,0.9249767135820329,34133.689253469216,20269.508237743667,7.8639209708846085
2,2,0.8981448914485628,38796.41575226877,19496.209469067286,7.478173321601582
2,3,0.9495261347393119,27658.94732484455,17147.617041057863,6.832494731949239
2,4,0.9317708469612689,30694.20967344452,21524.93564936358,8.701472754292801
2,5,0.9288669962012722,33186.904661119595,21538.98775031146,8.678436768180713
2,6,0.9341790779654404,34825.63212618327,20677.475321873284,9.089996917142837
2,7,0.9343998987327853,29537.404435992892,19954.89888728967,7.509231812596479
2,8,0.9342769915637138,29005.111092140523,17978.677836666462,7.106205368484608
2,9,0.9400407253331503,29728.34450622586,18457.74849808302,7.498122948621735
2,10,0.9568093440238665,25607.016682989382,17155.185035945262,6.671012184297117
3,1,0.9257244430086468,38221.86816922845,23067.19800993101,8.556145060072847
3,2,0.9445466798840861,26844.74206620264,17753.749939563742,7.533782067846683
3,3,0.9489529949195284,28570.729326500048,17224.725076333518,6.679889383310322
3,4,0.887232243147958,45350.664372904546,22484.973071217584,8.913023179463066
3,5,0.9413449281161926,26620.83506061624,18566.76018269311,7.405483616154997
3,6,0.9250656647310753,33012.54914696034,21108.620512931,8.242287557714398
3,7,0.9613894824985152,20477.848221911645,15158.305629235456,6.25015524061311
3,8,0.9291925190364019,30742.544509494266,18798.449424593335,8.519162562726079
3,9,0.8860163185910771,41648.22908026424,20712.50978586951,7.305340277960901
3,10,0.9361800427594612,31833.653277120964,20207.253828119996,7.971831071896035
4,1,0.9209192340515616,34599.198110686346,21080.293968562815,9.210308997523141
4,2,0.9421239374948969,26156.569651700353,17691.9982128815,7.82775644990288
4,3,0.9170908015658572,38250.082030437035,21655.49204359009,8.91367020178148
4,4,0.9603026742507905,20947.60706884416,15532.495179865015,6.45534803825735
4,5,0.9273258732256457,34959.09320102347,21571.539455138005,7.946721951657675
4,6,0.9169901697489042,34274.41088300584,20332.24000616221,7.644913515258967
4,7,0.9322374819537967,32024.5064994255,19830.31349349958,7.292750584003367
4,8,0.9158017241002944,39704.62972365325,22140.442335459757,8.202534361480836
4,9,0.9542094602752792,24467.145535781136,17602.823881047185,6.948754812057881
4,10,0.94385539059699,29323.536953362207,19143.007287335022,7.218867795162626
5,1,0.920131022418371,39774.53216950694,21900.431307661413,8.789503260977535
5,2,0.938818418079828,32876.996387910076,19864.50059648947,7.884013321096211
5,3,0.9253951987528041,31223.13714334552,19466.353101511842,7.804350076545028
5,4,0.9452437986535437,27043.508943418496,18537.616209754535,7.499912296711697
5,5,0.9143492340028745,35483.816514154896,19775.96510877799,7.934850547169068
5,6,0.9347803733471459,31947.36834333928,20699.059031571393,8.116872425974428
5,7,0.9295402922209437,28930.0276277553,19324.384921663346,7.608859175290336
5,8,0.9468127793763242,26982.994120074192,18361.604188263093,6.862721356726459
5,9,0.9514815208352214,28531.67618409093,17574.43899665636,7.6279126515274065
5,10,0.917891841360995,32273.440327355722,20553.454852017567,7.729065396627467
6,1,0.9364474512409954,30105.58078117046,18245.512426964673,7.762766121880431
6,2,0.9273101920669767,36418.91104554284,21151.504171932676,8.924187326943384
6,3,0.9526884087762229,28213.95479094433,18885.82355473939,7.213039220071847
6,4,0.9457622520894446,29872.81950576433,18990.751436222643,7.012543154218724
6,5,0.9417353894068248,28328.578334118465,19895.36118580128,7.695426781168946
6,6,0.9445820999292387,28293.53959902042,18838.63040487246,6.956295833518372
6,7,0.9066867676111809,35958.69894849455,20636.179894728797,10.158357577598512
6,8,0.9141736638399458,34438.1337886229,20930.241886355903,8.247746271070394
6,9,0.8876417743664109,35024.23301997923,20064.51614038271,7.8596560404670255
6,10,0.9495486383170185,28570.66292364539,19411.47572685454,6.957677840285102
7,1,0.9470032478784942,28783.620977508763,19143.503149053846,6.85416651644709
7,2,0.9123255874844516,33965.51108386513,18660.543256194476,8.892635946392366
7,3,0.9406633678145981,28370.317686248683,19475.314517520994,8.03046230293975
7,4,0.9357870985761244,32999.94905376157,19967.423584694498,7.8851958441252386
7,5,0.9445493750099272,29800.57069360552,19074.44004751088,8.45727945508033
7,6,0.9420685455926664,30092.942086510935,19299.090223385527,6.925883758592575
7,7,0.9486468809564461,27323.18070644153,17800.349996054527,6.861248450130709
7,8,0.9146762346441071,33790.47413079066,19900.61589022458,7.7039198586149675
7,9,0.9560852364905875,24666.540555996955,17009.886046131312,6.729818684503999
7,10,0.8971044634155478,40766.44246460811,23206.87083798326,8.496263725646294
8,1,0.9353378551500785,29513.95402524779,18788.575544744985,8.206907763640295
8,2,0.9420297221633421,30590.153240351694,20321.968913460045,7.658416765824899
8,3,0.9271950484329069,35448.44873520024,20731.611618678988,7.8168139474758815
8,4,0.9440283399183826,25586.568088107353,17287.803096074207,6.882832520441228
8,5,0.9280448759440866,31694.704494035344,20989.62933181175,8.422512762368624
8,6,0.9260111633161735,33412.73991626798,19133.17214775134,8.275973465851314
8,7,0.8803334429846279,43626.51627450916,21824.0610057923,8.30781279443448
8,8,0.9635580168021888,24295.30112315832,16502.821540095876,6.3405491889958645
8,9,0.9321114707524666,34793.20747235488,19828.283501610855,6.964258972863149
8,10,0.9263882747608092,29107.841500939154,19448.93905746307,8.103476116620538
9,1,0.9195722200418754,33012.46574415906,21895.528905065858,9.794469056211529
