fold,R2,RMSE,MAE,MAPE
1,0.9389443272788929,28288.484182583765,18737.817560817857,7.13054075221347
2,0.9366159699881782,32791.06419859732,19621.72522194554,7.743354739102726
3,0.9341068882025286,27676.7490723635,18988.37796839059,7.1395277679455456
4,0.9180866807754793,37263.42786671979,20727.57921433132,7.947544453364189
5,0.9354457515757655,31072.456368597672,19888.460191275728,7.676574715129396
6,0.9306554811103858,31188.42886937334,19926.902250707564,7.614512798561628
7,0.949052453883619,25026.36198251872,17325.561848797075,7.012421354562001
8,0.890726093022629,40217.339712445566,20270.472109698734,8.062325706733619
9,0.938683685552602,31816.177065863707,21308.98920135339,10.612078589868968
10,0.9206560819005914,37733.49841741393,20676.725672661178,7.502720167168968
