rep,R2_mean,RMSE_mean,MAE_mean,MAPE_mean
1,0.9292364415206933,31920.90321856374,19583.494527793286,7.760866488161757
2,0.9332991620551405,31317.36755086786,19420.124372740152,7.742906777805172
3,0.9285645316692943,32332.36632312034,19508.254546048825,7.737710001775843
4,0.9330856747264017,31470.677965791932,19658.064586354118,7.76616267070862
5,0.9324444479048051,31506.749776095134,19605.780831436703,7.785806050864563
6,0.9306576637644259,31522.51127373029,19704.999682885507,7.878769616722273
7,0.9338910037862951,31055.954943933786,19353.80375487539,7.683687454247332
8,0.9305038210225062,31806.943487017194,19485.68657574834,7.6979554298516275
9,0.9326127232046041,31390.63177203318,19614.20225663731,7.762783918219728
10,0.9332882270920726,31107.07418695455,19629.82402854559,7.757202801578056
