neighborhood,budget,n,base_price_mean,base_price_median,base_price_p10,base_price_p90,base_price_std,opt_price_mean,opt_price_median,opt_price_p10,opt_price_p90,opt_price_std,cost_mean,cost_median,cost_p10,cost_p90,cost_std,net_gain_mean,net_gain_median,net_gain_p10,net_gain_p90,net_gain_std,net_gain_per_cost_mean,net_gain_per_cost_median,net_gain_per_cost_p10,net_gain_per_cost_p90,net_gain_per_cost_std,price_uplift_mean,price_uplift_median,price_uplift_p10,price_uplift_p90,price_uplift_std
Blmngtn,20000,3.0,294648.4791666667,284699.9375,274192.9125,319083.4625,29349.6603697997,457595.82158073015,465509.8932887106,439310.31955796474,472715.6949203034,21974.53748995046,18189.773333333334,19156.26400000001,16214.049600000002,19778.9008,2380.0640221618705,144757.56908073017,142038.00587527826,129930.19443761693,160672.76900602417,19357.918450338628,8.15401970681456,7.414702881275712,6.575733859004362,10.0280322848403,2.250678370704752,1.558925535528355,1.5935727489064768,1.4772059942471514,1.6267861914583102,0.09818481424532906
Blmngtn,50000,3.0,294648.4791666667,284699.9375,274192.9125,319083.4625,29349.6603697997,500617.1284381352,504836.99750346184,488283.21809054987,511263.0911595899,14820.074178130082,48548.05333333331,48929.072,47555.23519999994,49388.46400000001,1192.33624791224,157420.59593813523,163649.5449873219,141279.47605636186,171070.13620023394,19384.86704217753,3.249450915856514,3.3446280155757275,2.861699433255995,3.599131558569348,0.46820752178238156,1.7070564683219125,1.7732248272919338,1.6067705555655525,1.780875037490264,0.12298153752688563
Blmngtn,100000,3.0,294648.4791666667,284699.9375,274192.9125,319083.4625,29349.6603697997,503141.38031173777,508925.1918327565,491888.5059896192,512080.73002544884,13577.823498919874,50748.05333333334,50511.776,49705.0048,51885.6128,1378.155335252644,157744.84781173774,163834.10627883486,141316.38831466445,171737.60392197216,19731.025011488502,3.1056245310326656,3.1368373973566843,2.820141309612186,3.3786226059235367,0.35009591595107675,1.716120139446433,1.7875844873789497,1.6096424875829556,1.7940120521369036,0.13079962929787045
Blueste,20000,3.0,210970.83333333334,189270.90625,179711.30625,250910.33125,48304.874418249194,308452.5095053566,283647.479874029,253735.6667285187,373091.36413472553,77628.76987057333,17962.039999999997,17587.039999999994,16741.408,19332.672,1651.7804217268101,79519.63617202327,76789.53362402902,54691.68847851872,105439.6248847255,31805.46147909715,4.555107048343998,4.366256835944482,2.862913089115912,6.322841092531891,2.168630890285651,1.4574241669325154,1.4848755511630136,1.4079868877726476,1.495880892400184,0.05985733939084038
Blueste,50000,3.0,210970.83333333334,189270.90625,179711.30625,250910.33125,48304.874418249194,324912.03434025426,283647.479874029,256243.68151868746,410086.20894831116,102577.76981108151,28233.890666666648,22191.191999999948,18507.870399999985,40376.990399999995,14635.75575848756,85707.31034025428,76789.53362402902,55262.013668687505,119719.71769831116,41019.65493329189,3.1726270577552604,2.9038796609716817,2.378971673274031,4.0737814009499225,1.084524003905071,1.5211971030642515,1.4986322277094766,1.424882114917722,1.626538041352691,0.12754093395895943
Blueste,100000,3.0,210970.83333333334,189270.90625,179711.30625,250910.33125,48304.874418249194,334581.12684935867,283647.479874029,256243.68153686367,433292.0309519856,119122.85528548341,36667.223999999995,22191.19199999998,18507.870399999993,60616.9904,29151.574195723435,86943.06951602538,76789.53362402902,55262.013686863706,122685.53970198562,43047.36172248944,2.8414893927719205,2.247744677373456,1.97792226747295,3.942554404230277,1.3312122036802616,1.5575033726102117,1.4986322277094766,1.4248821150202264,1.7136730881604907,0.18755685037621106
BrDale,20000,3.0,160916.67708333334,155372.703125,150844.928125,173206.015625,14777.39348348039,261171.4236536119,252088.17154271793,237857.40066825083,288118.74748333055,32383.284919491518,17533.32000000001,19233.36,14697.264,19689.360000000022,3449.9820876056824,82721.42657027855,82571.82716771791,68805.37729325084,96697.31560833052,17432.942869305072,4.733320532438831,4.819185152267015,4.299506418586237,5.132788798360152,0.5260833954219706,1.6213992484717625,1.6724030562181031,1.5408686227137482,1.6815283511312409,0.09838505534570059
BrDale,50000,3.0,160916.67708333334,155372.703125,150844.928125,173206.015625,14777.39348348039,263006.00257846486,255079.8889252469,238455.74414475664,290726.7064734603,33382.68986693316,19155.11466666665,21428.744000000006,15136.340799999974,22264.43679999998,4870.7907327912835,82934.21082846487,82893.54455024691,68869.72076975666,97014.96739846029,17590.814397443988,4.399929064254801,4.692077291628179,3.8892352574209914,4.7937635801392595,0.6193635257431567,1.6327732983358558,1.686542187002639,1.5436964488706555,1.7003425923343425,0.10841347638765862
BrDale,100000,3.0,160916.67708333334,155372.703125,150844.928125,173206.015625,14777.39348348039,263006.00257846486,255079.8889252469,238455.74414475664,290726.7064734603,33382.68986693316,19155.114666666683,21428.744000000006,15136.340800000009,22264.436800000025,4870.790732791277,82934.21082846484,82893.54455024685,68869.7207697566,97014.96739846027,17590.814397444014,4.39992906425479,4.692077291628179,3.889235257420982,4.793763580139243,0.6193635257431563,1.6327732983358558,1.686542187002639,1.5436964488706555,1.7003425923343425,0.10841347638765862
BrkSide,20000,3.0,187130.58333333334,185340.484375,171283.096875,203694.109375,20316.117788343017,339551.43983161956,339922.0730817774,317296.5284980317,361658.09786514414,27727.83873827271,10734.093333333336,11151.2,7500.5440000000035,13800.800000000001,3954.193944931548,141686.76316495283,120488.35745677736,113566.83787303173,178286.05074014416,44420.625887775364,15.931173621609043,10.804967847117561,8.346980514337242,25.56584903867744,11.641506521856579,1.8338515476491404,1.681446681241821,1.6419085700539953,2.0867564718072136,0.3077678983163083
