combo,count
Exter Cond + Exter Qual + Garage Qual,75
Exter Qual + Garage Cond + Garage Qual,75
Exter Qual + Garage Cond + Heating QC,75
Exter Qual + Garage Cond + Kitchen Qual,75
Exter Qual + Garage Cond + Low Qual Fin SF,75
Exter Qual + Garage Cond + Utilities,75
Exter Qual + Garage Qual + Gr Liv Area,75
Exter Qual + Garage Qual + Heating QC,75
Exter Qual + Garage Qual + Kitchen Qual,75
Exter Qual + Garage Qual + Low Qual Fin SF,75
Exter Qual + Garage Qual + Utilities,75
Exter Qual + Gr Liv Area + Heating QC,75
Exter Qual + Gr Liv Area + Kitchen Qual,75
Exter Qual + Gr Liv Area + Low Qual Fin SF,75
Exter Qual + Gr Liv Area + Utilities,75
Exter Qual + Heating QC + Kitchen Qual,75
Exter Qual + Heating QC + Low Qual Fin SF,75
Exter Qual + Heating QC + Utilities,75
Exter Qual + Kitchen Qual + Low Qual Fin SF,75
Exter Qual + Garage Cond + Gr Liv Area,75
Bsmt Qual + Exter Cond + Gr Liv Area,75
Exter Cond + Gr Liv Area + Kitchen Qual,75
Bsmt Qual + Exter Cond + Garage Qual,75
Exter Cond + Gr Liv Area + Utilities,75
Exter Cond + Heating QC + Kitchen Qual,75
Exter Cond + Heating QC + Low Qual Fin SF,75
Exter Cond + Heating QC + Utilities,75
Exter Cond + Kitchen Qual + Low Qual Fin SF,75
Exter Cond + Kitchen Qual + Utilities,75
Exter Cond + Low Qual Fin SF + Utilities,75
Exter Qual + Fireplace Qu + Garage Cond,75
Exter Qual + Fireplace Qu + Garage Qual,75
Exter Qual + Fireplace Qu + Gr Liv Area,75
Exter Qual + Fireplace Qu + Heating QC,75
Exter Qual + Fireplace Qu + Kitchen Qual,75
Exter Qual + Fireplace Qu + Low Qual Fin SF,75
Exter Qual + Fireplace Qu + Utilities,75
Bsmt Qual + Exter Cond + Exter Qual,75
Bsmt Qual + Exter Cond + Fireplace Qu,75
Bsmt Qual + Exter Cond + Garage Cond,75
Exter Qual + Kitchen Qual + Utilities,75
Exter Qual + Low Qual Fin SF + Utilities,75
Bsmt Qual + Exter Cond + Heating QC,75
Bsmt Qual + Exter Cond + Kitchen Qual,75
Fireplace Qu + Heating QC + Kitchen Qual,75
Fireplace Qu + Heating QC + Low Qual Fin SF,75
Fireplace Qu + Heating QC + Utilities,75
Fireplace Qu + Kitchen Qual + Low Qual Fin SF,75
Fireplace Qu + Kitchen Qual + Utilities,75
Fireplace Qu + Low Qual Fin SF + Utilities,75
Bsmt Qual + Exter Qual + Gr Liv Area,75
Bsmt Qual + Exter Qual + Heating QC,75
Bsmt Qual + Exter Qual + Kitchen Qual,75
Bsmt Qual + Exter Qual + Low Qual Fin SF,75
Bsmt Qual + Exter Qual + Utilities,75
Bsmt Qual + Fireplace Qu + Garage Qual,75
Bsmt Qual + Fireplace Qu + Gr Liv Area,75
Bsmt Qual + Fireplace Qu + Heating QC,75
Low Qual Fin SF + Utilities,75
Bsmt Qual + Fireplace Qu + Kitchen Qual,75
Kitchen Qual + Utilities,75
Fireplace Qu + Gr Liv Area + Utilities,75
Fireplace Qu + Gr Liv Area + Low Qual Fin SF,75
Fireplace Qu + Gr Liv Area + Kitchen Qual,75
Fireplace Qu + Garage Cond + Heating QC,75
Bsmt Qual + Exter Cond + Low Qual Fin SF,75
Bsmt Qual + Exter Cond + Utilities,75
Bsmt Qual + Exter Qual + Fireplace Qu,75
Bsmt Qual + Exter Qual + Garage Cond,75
Bsmt Qual + Exter Qual + Garage Qual,75
Fireplace Qu + Garage Cond + Garage Qual,75
Fireplace Qu + Garage Cond + Gr Liv Area,75
Fireplace Qu + Garage Cond + Kitchen Qual,75
Fireplace Qu + Gr Liv Area + Heating QC,75
Fireplace Qu + Garage Cond + Low Qual Fin SF,75
Fireplace Qu + Garage Cond + Utilities,75
Fireplace Qu + Garage Qual + Gr Liv Area,75
Fireplace Qu + Garage Qual + Heating QC,75
Fireplace Qu + Garage Qual + Kitchen Qual,75
Fireplace Qu + Garage Qual + Low Qual Fin SF,75
Fireplace Qu + Garage Qual + Utilities,75
Exter Cond + Gr Liv Area + Low Qual Fin SF,75
Exter Cond + Gr Liv Area + Heating QC,75
Kitchen Qual + Low Qual Fin SF,75
Bsmt Cond + Exter Qual + Fireplace Qu,75
Bsmt Cond + Exter Qual + Garage Qual,75
Bsmt Cond + Exter Qual + Gr Liv Area,75
Bsmt Cond + Exter Qual + Heating QC,75
Bsmt Cond + Exter Qual + Kitchen Qual,75
Bsmt Cond + Exter Qual + Low Qual Fin SF,75
Bsmt Cond + Exter Qual + Utilities,75
Bsmt Cond + Fireplace Qu + Garage Cond,75
Bsmt Cond + Fireplace Qu + Garage Qual,75
Bsmt Cond + Fireplace Qu + Gr Liv Area,75
Bsmt Cond + Fireplace Qu + Heating QC,75
Bsmt Cond + Fireplace Qu + Kitchen Qual,75
Bsmt Cond + Fireplace Qu + Low Qual Fin SF,75
Bsmt Cond + Fireplace Qu + Utilities,75
Bsmt Cond + Garage Cond + Garage Qual,75
Bsmt Cond + Garage Cond + Gr Liv Area,75
Bsmt Cond + Garage Cond + Heating QC,75
Bsmt Cond + Garage Cond + Kitchen Qual,75
Bsmt Cond + Exter Qual + Garage Cond,75
Bsmt Cond + Exter Cond + Utilities,75
Exter Cond + Garage Qual + Utilities,75
Bsmt Cond + Exter Cond + Low Qual Fin SF,75
Bsmt Cond + Bsmt Qual + Utilities,75
Bsmt Cond + Exter Cond + Exter Qual,75
Bsmt Cond + Bsmt Qual + Low Qual Fin SF,75
Bsmt Cond + Bsmt Qual + Kitchen Qual,75
Bsmt Cond + Bsmt Qual + Heating QC,75
Bsmt Cond + Bsmt Qual + Gr Liv Area,75
Bsmt Cond + Bsmt Qual + Garage Qual,75
Bsmt Cond + Bsmt Qual + Garage Cond,75
Bsmt Cond + Exter Cond + Fireplace Qu,75
Bsmt Cond + Exter Cond + Garage Cond,75
Bsmt Cond + Bsmt Qual + Fireplace Qu,75
Bsmt Cond + Bsmt Qual + Exter Qual,75
Bsmt Cond + Bsmt Qual + Exter Cond,75
Bsmt Cond + Exter Cond + Garage Qual,75
Bsmt Cond + Exter Cond + Gr Liv Area,75
Bsmt Cond + Exter Cond + Heating QC,75
Bsmt Cond + Exter Cond + Kitchen Qual,75
Bsmt Cond + Garage Cond + Low Qual Fin SF,75
Bsmt Cond + Garage Cond + Utilities,75
Bsmt Cond + Garage Qual + Gr Liv Area,75
Bsmt Cond + Garage Qual + Heating QC,75
Exter Cond + Fireplace Qu + Garage Cond,75
Exter Cond + Fireplace Qu + Garage Qual,75
Exter Cond + Fireplace Qu + Gr Liv Area,75
Exter Cond + Fireplace Qu + Heating QC,75
Exter Cond + Fireplace Qu + Kitchen Qual,75
Exter Cond + Fireplace Qu + Low Qual Fin SF,75
Exter Cond + Fireplace Qu + Utilities,75
Exter Cond + Garage Cond + Garage Qual,75
Exter Cond + Garage Cond + Gr Liv Area,75
Exter Cond + Garage Cond + Heating QC,75
Exter Cond + Garage Cond + Kitchen Qual,75
Exter Cond + Garage Cond + Low Qual Fin SF,75
Exter Cond + Garage Cond + Utilities,75
Exter Cond + Garage Qual + Gr Liv Area,75
Exter Cond + Garage Qual + Heating QC,75
Exter Cond + Garage Qual + Kitchen Qual,75
Exter Cond + Garage Qual + Low Qual Fin SF,75
Bsmt Cond + Low Qual Fin SF + Utilities,75
Exter Cond + Exter Qual + Utilities,75
Exter Cond + Exter Qual + Low Qual Fin SF,75
Bsmt Cond + Heating QC + Kitchen Qual,75
Bsmt Cond + Garage Qual + Kitchen Qual,75
Bsmt Cond + Garage Qual + Low Qual Fin SF,75
Bsmt Cond + Garage Qual + Utilities,75
Bsmt Cond + Gr Liv Area + Heating QC,75
Bsmt Cond + Gr Liv Area + Kitchen Qual,75
Bsmt Cond + Gr Liv Area + Low Qual Fin SF,75
Bsmt Cond + Gr Liv Area + Utilities,75
Bsmt Cond + Heating QC + Low Qual Fin SF,75
Exter Cond + Exter Qual + Kitchen Qual,75
Bsmt Cond + Heating QC + Utilities,75
Bsmt Cond + Kitchen Qual + Low Qual Fin SF,75
Exter Cond + Exter Qual + Fireplace Qu,75
Bsmt Cond + Kitchen Qual + Utilities,75
Exter Cond + Exter Qual + Garage Cond,75
Exter Cond + Exter Qual + Gr Liv Area,75
Exter Cond + Exter Qual + Heating QC,75
Bsmt Qual + Fireplace Qu + Low Qual Fin SF,75
Bsmt Qual + Fireplace Qu + Garage Cond,75
Heating QC + Utilities,75
Bsmt Qual + Exter Qual,75
Garage Qual + Gr Liv Area + Low Qual Fin SF,75
Bsmt Qual + Garage Cond,75
Bsmt Qual + Garage Qual,75
Bsmt Qual + Gr Liv Area,75
Bsmt Qual + Heating QC,75
Bsmt Qual + Kitchen Qual,75
Bsmt Qual + Low Qual Fin SF,75
Garage Qual + Gr Liv Area + Kitchen Qual,75
Bsmt Qual + Utilities,75
Garage Qual + Gr Liv Area + Heating QC,75
Garage Cond + Low Qual Fin SF + Utilities,75
Garage Cond + Kitchen Qual + Utilities,75
Bsmt Qual + Fireplace Qu + Utilities,75
Garage Cond + Heating QC + Utilities,75
Bsmt Qual + Low Qual Fin SF + Utilities,75
Garage Cond + Heating QC + Low Qual Fin SF,75
Bsmt Qual + Kitchen Qual + Utilities,75
Exter Cond + Exter Qual,75
Exter Cond + Fireplace Qu,75
Garage Cond + Heating QC + Kitchen Qual,75
Bsmt Qual + Kitchen Qual + Low Qual Fin SF,75
Exter Cond + Garage Cond,75
Exter Cond + Garage Qual,75
Exter Cond + Gr Liv Area,75
Exter Cond + Heating QC,75
Exter Cond + Kitchen Qual,75
Exter Cond + Low Qual Fin SF,75
Bsmt Qual + Fireplace Qu,75
Bsmt Qual + Exter Cond,75
Exter Cond + Utilities,75
Bsmt Cond + Utilities,75
Kitchen Qual + Low Qual Fin SF + Utilities,75
Heating QC + Low Qual Fin SF + Utilities,75
Heating QC + Kitchen Qual + Utilities,75
Heating QC + Kitchen Qual + Low Qual Fin SF,75
Gr Liv Area + Low Qual Fin SF + Utilities,75
Gr Liv Area + Kitchen Qual + Utilities,75
Gr Liv Area + Kitchen Qual + Low Qual Fin SF,75
Gr Liv Area + Heating QC + Utilities,75
Gr Liv Area + Heating QC + Low Qual Fin SF,75
Gr Liv Area + Heating QC + Kitchen Qual,75
Garage Qual + Low Qual Fin SF + Utilities,75
