budget,col,count,n_opt,rate_in_group
20000,1st Flr SF,24,75,0.32
20000,Bedroom AbvGr,5,75,0.06666666666666667
20000,Bsmt Cond,75,75,1.0
20000,Bsmt Qual,75,75,1.0
20000,Bsmt Unf SF,69,75,0.92
20000,BsmtFin SF 1,67,75,0.8933333333333333
20000,BsmtFin SF 2,63,75,0.84
20000,Enclosed Porch,1,75,0.013333333333333334
20000,Exter Cond,75,75,1.0
20000,Exter Qual,75,75,1.0
20000,Fireplace Qu,75,75,1.0
20000,Full Bath,9,75,0.12
20000,Garage Area,5,75,0.06666666666666667
20000,Garage Cars,64,75,0.8533333333333334
20000,Garage Cond,75,75,1.0
20000,Garage Qual,75,75,1.0
20000,Gr Liv Area,75,75,1.0
20000,Half Bath,9,75,0.12
20000,Heating QC,75,75,1.0
20000,Kitchen AbvGr,1,75,0.013333333333333334
20000,Kitchen Qual,75,75,1.0
20000,Low Qual Fin SF,75,75,1.0
20000,Open Porch SF,13,75,0.17333333333333334
20000,Screen Porch,2,75,0.02666666666666667
20000,Utilities,75,75,1.0
20000,Wood Deck SF,12,75,0.16
50000,1st Flr SF,29,75,0.38666666666666666
50000,Bedroom AbvGr,8,75,0.10666666666666667
50000,Bsmt Cond,75,75,1.0
50000,Bsmt Qual,75,75,1.0
50000,Bsmt Unf SF,69,75,0.92
50000,BsmtFin SF 1,67,75,0.8933333333333333
50000,BsmtFin SF 2,66,75,0.88
50000,Enclosed Porch,2,75,0.02666666666666667
50000,Exter Cond,75,75,1.0
50000,Exter Qual,75,75,1.0
50000,Fireplace Qu,75,75,1.0
50000,Full Bath,18,75,0.24
50000,Garage Area,8,75,0.10666666666666667
50000,Garage Cars,64,75,0.8533333333333334
50000,Garage Cond,75,75,1.0
50000,Garage Qual,75,75,1.0
50000,Gr Liv Area,75,75,1.0
50000,Half Bath,9,75,0.12
50000,Heating QC,75,75,1.0
50000,Kitchen Qual,75,75,1.0
50000,Low Qual Fin SF,75,75,1.0
50000,Open Porch SF,15,75,0.2
50000,Screen Porch,3,75,0.04
50000,Utilities,75,75,1.0
50000,Wood Deck SF,16,75,0.21333333333333335
100000,1st Flr SF,33,75,0.44
100000,Bedroom AbvGr,13,75,0.17333333333333334
100000,Bsmt Cond,75,75,1.0
100000,Bsmt Qual,75,75,1.0
100000,Bsmt Unf SF,69,75,0.92
100000,BsmtFin SF 1,67,75,0.8933333333333333
100000,BsmtFin SF 2,66,75,0.88
100000,Enclosed Porch,2,75,0.02666666666666667
100000,Exter Cond,75,75,1.0
100000,Exter Qual,75,75,1.0
100000,Fireplace Qu,75,75,1.0
100000,Full Bath,22,75,0.29333333333333333
100000,Garage Area,10,75,0.13333333333333333
100000,Garage Cars,64,75,0.8533333333333334
100000,Garage Cond,75,75,1.0
100000,Garage Qual,75,75,1.0
100000,Gr Liv Area,75,75,1.0
100000,Half Bath,11,75,0.14666666666666667
100000,Heating QC,75,75,1.0
100000,Kitchen AbvGr,1,75,0.013333333333333334
100000,Kitchen Qual,75,75,1.0
100000,Low Qual Fin SF,75,75,1.0
100000,Open Porch SF,17,75,0.22666666666666666
100000,Screen Porch,3,75,0.04
100000,Utilities,75,75,1.0
100000,Wood Deck SF,17,75,0.22666666666666666
