neighborhood,col,count,n_opt,rate_in_group
Blmngtn,Bsmt Cond,9,9,1.0
Blmngtn,Bsmt Qual,9,9,1.0
Blmngtn,Bsmt Unf SF,9,9,1.0
Blmngtn,BsmtFin SF 1,9,9,1.0
Blmngtn,BsmtFin SF 2,9,9,1.0
Blmngtn,Exter Cond,9,9,1.0
Blmngtn,Exter Qual,9,9,1.0
Blmngtn,Fireplace Qu,9,9,1.0
Blmngtn,Garage Area,3,9,0.3333333333333333
Blmngtn,Garage Cars,6,9,0.6666666666666666
Blmngtn,Garage Cond,9,9,1.0
Blmngtn,Garage Qual,9,9,1.0
Blmngtn,Gr Liv Area,9,9,1.0
Blmngtn,Heating QC,9,9,1.0
Blmngtn,Kitchen Qual,9,9,1.0
Blmngtn,Low Qual Fin SF,9,9,1.0
Blmngtn,Open Porch SF,2,9,0.2222222222222222
Blmngtn,Utilities,9,9,1.0
Blmngtn,Wood Deck SF,5,9,0.5555555555555556
Blueste,1st Flr SF,1,9,0.1111111111111111
Blueste,Bedroom AbvGr,1,9,0.1111111111111111
Blueste,Bsmt Cond,9,9,1.0
Blueste,Bsmt Qual,9,9,1.0
Blueste,Bsmt Unf SF,9,9,1.0
Blueste,BsmtFin SF 1,9,9,1.0
Blueste,BsmtFin SF 2,8,9,0.8888888888888888
Blueste,Exter Cond,9,9,1.0
Blueste,Exter Qual,9,9,1.0
Blueste,Fireplace Qu,9,9,1.0
Blueste,Full Bath,1,9,0.1111111111111111
Blueste,Garage Cars,9,9,1.0
Blueste,Garage Cond,9,9,1.0
Blueste,Garage Qual,9,9,1.0
Blueste,Gr Liv Area,9,9,1.0
Blueste,Heating QC,9,9,1.0
Blueste,Kitchen Qual,9,9,1.0
Blueste,Low Qual Fin SF,9,9,1.0
Blueste,Utilities,9,9,1.0
Blueste,Wood Deck SF,5,9,0.5555555555555556
BrDale,Bsmt Cond,9,9,1.0
BrDale,Bsmt Qual,9,9,1.0
BrDale,Bsmt Unf SF,9,9,1.0
BrDale,BsmtFin SF 1,9,9,1.0
BrDale,BsmtFin SF 2,9,9,1.0
BrDale,Exter Cond,9,9,1.0
BrDale,Exter Qual,9,9,1.0
BrDale,Fireplace Qu,9,9,1.0
BrDale,Garage Cars,9,9,1.0
BrDale,Garage Cond,9,9,1.0
BrDale,Garage Qual,9,9,1.0
BrDale,Gr Liv Area,9,9,1.0
BrDale,Heating QC,9,9,1.0
BrDale,Kitchen Qual,9,9,1.0
BrDale,Low Qual Fin SF,9,9,1.0
BrDale,Open Porch SF,2,9,0.2222222222222222
BrDale,Utilities,9,9,1.0
BrkSide,Bsmt Cond,9,9,1.0
BrkSide,Bsmt Qual,9,9,1.0
BrkSide,Bsmt Unf SF,6,9,0.6666666666666666
BrkSide,BsmtFin SF 1,6,9,0.6666666666666666
BrkSide,BsmtFin SF 2,6,9,0.6666666666666666
BrkSide,Exter Cond,9,9,1.0
BrkSide,Exter Qual,9,9,1.0
BrkSide,Fireplace Qu,9,9,1.0
BrkSide,Garage Cars,9,9,1.0
BrkSide,Garage Cond,9,9,1.0
BrkSide,Garage Qual,9,9,1.0
BrkSide,Gr Liv Area,9,9,1.0
BrkSide,Heating QC,9,9,1.0
BrkSide,Kitchen Qual,9,9,1.0
BrkSide,Low Qual Fin SF,9,9,1.0
BrkSide,Utilities,9,9,1.0
BrkSide,Wood Deck SF,3,9,0.3333333333333333
ClearCr,1st Flr SF,8,9,0.8888888888888888
ClearCr,Bsmt Cond,9,9,1.0
ClearCr,Bsmt Qual,9,9,1.0
ClearCr,Bsmt Unf SF,9,9,1.0
ClearCr,BsmtFin SF 1,9,9,1.0
ClearCr,BsmtFin SF 2,9,9,1.0
ClearCr,Exter Cond,9,9,1.0
ClearCr,Exter Qual,9,9,1.0
ClearCr,Fireplace Qu,9,9,1.0
ClearCr,Full Bath,5,9,0.5555555555555556
ClearCr,Garage Cars,9,9,1.0
ClearCr,Garage Cond,9,9,1.0
ClearCr,Garage Qual,9,9,1.0
ClearCr,Gr Liv Area,9,9,1.0
ClearCr,Half Bath,5,9,0.5555555555555556
ClearCr,Heating QC,9,9,1.0
ClearCr,Kitchen Qual,9,9,1.0
ClearCr,Low Qual Fin SF,9,9,1.0
ClearCr,Utilities,9,9,1.0
ClearCr,Wood Deck SF,3,9,0.3333333333333333
CollgCr,Bsmt Cond,9,9,1.0
CollgCr,Bsmt Qual,9,9,1.0
CollgCr,Bsmt Unf SF,9,9,1.0
CollgCr,BsmtFin SF 1,9,9,1.0
CollgCr,BsmtFin SF 2,9,9,1.0
CollgCr,Exter Cond,9,9,1.0
CollgCr,Exter Qual,9,9,1.0
CollgCr,Fireplace Qu,9,9,1.0
CollgCr,Garage Cars,9,9,1.0
CollgCr,Garage Cond,9,9,1.0
CollgCr,Garage Qual,9,9,1.0
CollgCr,Gr Liv Area,9,9,1.0
CollgCr,Heating QC,9,9,1.0
CollgCr,Kitchen Qual,9,9,1.0
CollgCr,Low Qual Fin SF,9,9,1.0
CollgCr,Open Porch SF,6,9,0.6666666666666666
CollgCr,Utilities,9,9,1.0
CollgCr,Wood Deck SF,3,9,0.3333333333333333
Crawfor,Bsmt Cond,9,9,1.0
Crawfor,Bsmt Qual,9,9,1.0
Crawfor,Bsmt Unf SF,6,9,0.6666666666666666
Crawfor,BsmtFin SF 1,6,9,0.6666666666666666
Crawfor,BsmtFin SF 2,6,9,0.6666666666666666
Crawfor,Enclosed Porch,3,9,0.3333333333333333
Crawfor,Exter Cond,9,9,1.0
Crawfor,Exter Qual,9,9,1.0
Crawfor,Fireplace Qu,9,9,1.0
Crawfor,Garage Cars,9,9,1.0
Crawfor,Garage Cond,9,9,1.0
Crawfor,Garage Qual,9,9,1.0
Crawfor,Gr Liv Area,9,9,1.0
Crawfor,Heating QC,9,9,1.0
Crawfor,Kitchen Qual,9,9,1.0
Crawfor,Low Qual Fin SF,9,9,1.0
Crawfor,Screen Porch,3,9,0.3333333333333333
Crawfor,Utilities,9,9,1.0
Edwards,1st Flr SF,3,9,0.3333333333333333
Edwards,Bsmt Cond,9,9,1.0
Edwards,Bsmt Qual,9,9,1.0
Edwards,Bsmt Unf SF,9,9,1.0
Edwards,BsmtFin SF 1,9,9,1.0
Edwards,BsmtFin SF 2,9,9,1.0
Edwards,Exter Cond,9,9,1.0
Edwards,Exter Qual,9,9,1.0
Edwards,Fireplace Qu,9,9,1.0
Edwards,Full Bath,3,9,0.3333333333333333
Edwards,Garage Cars,9,9,1.0
Edwards,Garage Cond,9,9,1.0
Edwards,Garage Qual,9,9,1.0
Edwards,Gr Liv Area,9,9,1.0
Edwards,Heating QC,9,9,1.0
Edwards,Kitchen Qual,9,9,1.0
Edwards,Low Qual Fin SF,9,9,1.0
Edwards,Open Porch SF,3,9,0.3333333333333333
Edwards,Utilities,9,9,1.0
Edwards,Wood Deck SF,3,9,0.3333333333333333
Gilbert,1st Flr SF,3,9,0.3333333333333333
Gilbert,Bsmt Cond,9,9,1.0
Gilbert,Bsmt Qual,9,9,1.0
Gilbert,Bsmt Unf SF,9,9,1.0
Gilbert,BsmtFin SF 1,9,9,1.0
Gilbert,BsmtFin SF 2,9,9,1.0
Gilbert,Exter Cond,9,9,1.0
Gilbert,Exter Qual,9,9,1.0
Gilbert,Fireplace Qu,9,9,1.0
Gilbert,Full Bath,3,9,0.3333333333333333
Gilbert,Garage Cars,9,9,1.0
Gilbert,Garage Cond,9,9,1.0
Gilbert,Garage Qual,9,9,1.0
Gilbert,Gr Liv Area,9,9,1.0
Gilbert,Heating QC,9,9,1.0
Gilbert,Kitchen Qual,9,9,1.0
Gilbert,Low Qual Fin SF,9,9,1.0
Gilbert,Open Porch SF,5,9,0.5555555555555556
Gilbert,Utilities,9,9,1.0
IDOTRR,Bsmt Cond,9,9,1.0
IDOTRR,Bsmt Qual,9,9,1.0
IDOTRR,Bsmt Unf SF,6,9,0.6666666666666666
IDOTRR,BsmtFin SF 1,6,9,0.6666666666666666
IDOTRR,BsmtFin SF 2,6,9,0.6666666666666666
IDOTRR,Exter Cond,9,9,1.0
IDOTRR,Exter Qual,9,9,1.0
IDOTRR,Fireplace Qu,9,9,1.0
IDOTRR,Garage Cars,9,9,1.0
IDOTRR,Garage Cond,9,9,1.0
IDOTRR,Garage Qual,9,9,1.0
IDOTRR,Gr Liv Area,9,9,1.0
IDOTRR,Heating QC,9,9,1.0
IDOTRR,Kitchen Qual,9,9,1.0
IDOTRR,Low Qual Fin SF,9,9,1.0
IDOTRR,Utilities,9,9,1.0
MeadowV,Bsmt Cond,9,9,1.0
MeadowV,Bsmt Qual,9,9,1.0
MeadowV,Bsmt Unf SF,6,9,0.6666666666666666
MeadowV,BsmtFin SF 1,3,9,0.3333333333333333
MeadowV,BsmtFin SF 2,3,9,0.3333333333333333
MeadowV,Exter Cond,9,9,1.0
MeadowV,Exter Qual,9,9,1.0
MeadowV,Fireplace Qu,9,9,1.0
MeadowV,Garage Cars,9,9,1.0
MeadowV,Garage Cond,9,9,1.0
MeadowV,Garage Qual,9,9,1.0
MeadowV,Gr Liv Area,9,9,1.0
MeadowV,Heating QC,9,9,1.0
MeadowV,Kitchen Qual,9,9,1.0
MeadowV,Low Qual Fin SF,9,9,1.0
MeadowV,Utilities,9,9,1.0
Mitchel,1st Flr SF,6,9,0.6666666666666666
Mitchel,Bsmt Cond,9,9,1.0
Mitchel,Bsmt Qual,9,9,1.0
Mitchel,Bsmt Unf SF,6,9,0.6666666666666666
Mitchel,BsmtFin SF 1,6,9,0.6666666666666666
Mitchel,BsmtFin SF 2,5,9,0.5555555555555556
Mitchel,Exter Cond,9,9,1.0
Mitchel,Exter Qual,9,9,1.0
Mitchel,Fireplace Qu,9,9,1.0
Mitchel,Garage Area,3,9,0.3333333333333333
Mitchel,Garage Cars,9,9,1.0
Mitchel,Garage Cond,9,9,1.0
Mitchel,Garage Qual,9,9,1.0
Mitchel,Gr Liv Area,9,9,1.0
Mitchel,Half Bath,6,9,0.6666666666666666
Mitchel,Heating QC,9,9,1.0
Mitchel,Kitchen Qual,9,9,1.0
Mitchel,Low Qual Fin SF,9,9,1.0
Mitchel,Utilities,9,9,1.0
NPkVill,Bsmt Cond,9,9,1.0
NPkVill,Bsmt Qual,9,9,1.0
NPkVill,Bsmt Unf SF,9,9,1.0
NPkVill,BsmtFin SF 1,6,9,0.6666666666666666
NPkVill,BsmtFin SF 2,9,9,1.0
NPkVill,Exter Cond,9,9,1.0
NPkVill,Exter Qual,9,9,1.0
NPkVill,Fireplace Qu,9,9,1.0
NPkVill,Garage Cars,9,9,1.0
NPkVill,Garage Cond,9,9,1.0
NPkVill,Garage Qual,9,9,1.0
NPkVill,Gr Liv Area,9,9,1.0
NPkVill,Heating QC,9,9,1.0
NPkVill,Kitchen Qual,9,9,1.0
NPkVill,Low Qual Fin SF,9,9,1.0
NPkVill,Utilities,9,9,1.0
NPkVill,Wood Deck SF,3,9,0.3333333333333333
NWAmes,1st Flr SF,3,9,0.3333333333333333
NWAmes,Bsmt Cond,9,9,1.0
NWAmes,Bsmt Qual,9,9,1.0
NWAmes,Bsmt Unf SF,9,9,1.0
NWAmes,BsmtFin SF 1,9,9,1.0
NWAmes,BsmtFin SF 2,9,9,1.0
NWAmes,Exter Cond,9,9,1.0
NWAmes,Exter Qual,9,9,1.0
NWAmes,Fireplace Qu,9,9,1.0
NWAmes,Full Bath,3,9,0.3333333333333333
NWAmes,Garage Cars,9,9,1.0
NWAmes,Garage Cond,9,9,1.0
NWAmes,Garage Qual,9,9,1.0
NWAmes,Gr Liv Area,9,9,1.0
NWAmes,Heating QC,9,9,1.0
NWAmes,Kitchen Qual,9,9,1.0
NWAmes,Low Qual Fin SF,9,9,1.0
NWAmes,Open Porch SF,3,9,0.3333333333333333
NWAmes,Utilities,9,9,1.0
No aplicames,1st Flr SF,6,9,0.6666666666666666
No aplicames,Bsmt Cond,9,9,1.0
No aplicames,Bsmt Qual,9,9,1.0
No aplicames,Bsmt Unf SF,9,9,1.0
No aplicames,BsmtFin SF 1,9,9,1.0
No aplicames,BsmtFin SF 2,9,9,1.0
No aplicames,Exter Cond,9,9,1.0
No aplicames,Exter Qual,9,9,1.0
No aplicames,Fireplace Qu,9,9,1.0
No aplicames,Full Bath,2,9,0.2222222222222222
No aplicames,Garage Cars,9,9,1.0
No aplicames,Garage Cond,9,9,1.0
No aplicames,Garage Qual,9,9,1.0
No aplicames,Gr Liv Area,9,9,1.0
No aplicames,Half Bath,6,9,0.6666666666666666
No aplicames,Heating QC,9,9,1.0
No aplicames,Kitchen Qual,9,9,1.0
No aplicames,Low Qual Fin SF,9,9,1.0
No aplicames,Utilities,9,9,1.0
NoRidge,1st Flr SF,9,9,1.0
NoRidge,Bedroom AbvGr,5,9,0.5555555555555556
NoRidge,Bsmt Cond,9,9,1.0
NoRidge,Bsmt Qual,9,9,1.0
NoRidge,Bsmt Unf SF,9,9,1.0
NoRidge,BsmtFin SF 1,9,9,1.0
NoRidge,BsmtFin SF 2,9,9,1.0
NoRidge,Enclosed Porch,2,9,0.2222222222222222
NoRidge,Exter Cond,9,9,1.0
NoRidge,Exter Qual,9,9,1.0
NoRidge,Fireplace Qu,9,9,1.0
NoRidge,Full Bath,5,9,0.5555555555555556
NoRidge,Garage Area,5,9,0.5555555555555556
NoRidge,Garage Cond,9,9,1.0
NoRidge,Garage Qual,9,9,1.0
NoRidge,Gr Liv Area,9,9,1.0
NoRidge,Heating QC,9,9,1.0
NoRidge,Kitchen AbvGr,1,9,0.1111111111111111
NoRidge,Kitchen Qual,9,9,1.0
NoRidge,Low Qual Fin SF,9,9,1.0
NoRidge,Open Porch SF,5,9,0.5555555555555556
NoRidge,Utilities,9,9,1.0
NridgHt,1st Flr SF,9,9,1.0
NridgHt,Bedroom AbvGr,4,9,0.4444444444444444
NridgHt,Bsmt Cond,9,9,1.0
NridgHt,Bsmt Qual,9,9,1.0
NridgHt,Bsmt Unf SF,9,9,1.0
NridgHt,BsmtFin SF 1,9,9,1.0
NridgHt,BsmtFin SF 2,9,9,1.0
NridgHt,Exter Cond,9,9,1.0
NridgHt,Exter Qual,9,9,1.0
NridgHt,Fireplace Qu,9,9,1.0
NridgHt,Full Bath,8,9,0.8888888888888888
NridgHt,Garage Area,2,9,0.2222222222222222
NridgHt,Garage Cond,9,9,1.0
NridgHt,Garage Qual,9,9,1.0
NridgHt,Gr Liv Area,9,9,1.0
NridgHt,Half Bath,1,9,0.1111111111111111
NridgHt,Heating QC,9,9,1.0
NridgHt,Kitchen Qual,9,9,1.0
NridgHt,Low Qual Fin SF,9,9,1.0
NridgHt,Open Porch SF,3,9,0.3333333333333333
NridgHt,Screen Porch,3,9,0.3333333333333333
NridgHt,Utilities,9,9,1.0
NridgHt,Wood Deck SF,4,9,0.4444444444444444
OldTown,1st Flr SF,9,9,1.0
OldTown,Bsmt Cond,9,9,1.0
OldTown,Bsmt Qual,9,9,1.0
OldTown,Bsmt Unf SF,9,9,1.0
OldTown,BsmtFin SF 1,9,9,1.0
OldTown,BsmtFin SF 2,6,9,0.6666666666666666
OldTown,Exter Cond,9,9,1.0
OldTown,Exter Qual,9,9,1.0
OldTown,Fireplace Qu,9,9,1.0
OldTown,Full Bath,5,9,0.5555555555555556
OldTown,Garage Cars,9,9,1.0
OldTown,Garage Cond,9,9,1.0
OldTown,Garage Qual,9,9,1.0
OldTown,Gr Liv Area,9,9,1.0
OldTown,Half Bath,4,9,0.4444444444444444
OldTown,Heating QC,9,9,1.0
OldTown,Kitchen Qual,9,9,1.0
OldTown,Low Qual Fin SF,9,9,1.0
OldTown,Utilities,9,9,1.0
SWISU,Bsmt Cond,9,9,1.0
SWISU,Bsmt Qual,9,9,1.0
SWISU,Bsmt Unf SF,9,9,1.0
SWISU,BsmtFin SF 1,9,9,1.0
SWISU,BsmtFin SF 2,9,9,1.0
SWISU,Exter Cond,9,9,1.0
SWISU,Exter Qual,9,9,1.0
SWISU,Fireplace Qu,9,9,1.0
SWISU,Garage Cars,9,9,1.0
SWISU,Garage Cond,9,9,1.0
SWISU,Garage Qual,9,9,1.0
SWISU,Gr Liv Area,9,9,1.0
SWISU,Heating QC,9,9,1.0
SWISU,Kitchen Qual,9,9,1.0
SWISU,Low Qual Fin SF,9,9,1.0
SWISU,Utilities,9,9,1.0
SWISU,Wood Deck SF,3,9,0.3333333333333333
Sawyer,1st Flr SF,6,9,0.6666666666666666
Sawyer,Bsmt Cond,9,9,1.0
Sawyer,Bsmt Qual,9,9,1.0
Sawyer,Bsmt Unf SF,9,9,1.0
Sawyer,BsmtFin SF 1,9,9,1.0
Sawyer,BsmtFin SF 2,6,9,0.6666666666666666
Sawyer,Exter Cond,9,9,1.0
Sawyer,Exter Qual,9,9,1.0
Sawyer,Fireplace Qu,9,9,1.0
Sawyer,Garage Cars,9,9,1.0
Sawyer,Garage Cond,9,9,1.0
Sawyer,Garage Qual,9,9,1.0
Sawyer,Gr Liv Area,9,9,1.0
