col,count,rate_overall
Gr Liv Area,225,1.0
Bsmt Cond,225,1.0
Bsmt Qual,225,1.0
Utilities,225,1.0
Exter Cond,225,1.0
Exter Qual,225,1.0
Fireplace Qu,225,1.0
Low Qual Fin SF,225,1.0
Kitchen Qual,225,1.0
Heating QC,225,1.0
Garage Cond,225,1.0
Garage Qual,225,1.0
Bsmt Unf SF,207,0.92
BsmtFin SF 1,201,0.8933333333333333
BsmtFin SF 2,195,0.8666666666666667
Garage Cars,192,0.8533333333333334
1st Flr SF,86,0.38222222222222224
Full Bath,49,0.21777777777777776
Open Porch SF,45,0.2
Wood Deck SF,45,0.2
Half Bath,29,0.1288888888888889
Bedroom AbvGr,26,0.11555555555555555
Garage Area,23,0.10222222222222223
Screen Porch,8,0.035555555555555556
Enclosed Porch,5,0.022222222222222223
Kitchen AbvGr,2,0.008888888888888889
