pid,n_changes
527107090,19
527146030,20
527210060,20
527252050,20
527375180,16
527450220,17
527450280,16
527451200,16
527453050,16
527453130,15
527455080,17
528102090,21
528120020,19
528150040,20
528218050,16
528222020,17
528228270,18
528228445,17
528228565,17
528315110,18
528363110,19
528429080,21
528445070,20
531375070,19
531376090,15
531385070,19
532351050,16
532353030,18
532378220,18
533128090,22
533206040,18
533250050,21
533250190,15
533254100,16
534152070,16
534250410,19
535152060,16
535153150,18
535456050,19
902100020,18
902207140,18
902330010,18
903201090,13
903204010,17
903236010,16
903450110,13
903455140,16
905351089,18
905352070,18
905452160,16
906380170,17
906426090,20
907262050,18
907290230,16
908102020,17
908188140,19
909129100,16
909251170,17
909256060,16
909275110,17
909275250,16
909426090,14
909451130,17
909451140,17
909455040,19
911102180,16
914476130,18
916226030,16
916380060,21
916403290,17
923225360,13
923225440,15
923228200,15
923277040,14
924100070,18
