neighborhood,budget,total,optimal,optimal_rate
Blmngtn,20000,3,3,1.0
Blmngtn,50000,3,3,1.0
Blmngtn,100000,3,3,1.0
Blueste,20000,3,3,1.0
Blueste,50000,3,3,1.0
Blueste,100000,3,3,1.0
BrDale,20000,3,3,1.0
BrDale,50000,3,3,1.0
BrDale,100000,3,3,1.0
BrkSide,20000,3,3,1.0
BrkSide,50000,3,3,1.0
BrkSide,100000,3,3,1.0
ClearCr,20000,3,3,1.0
ClearCr,50000,3,3,1.0
ClearCr,100000,3,3,1.0
CollgCr,20000,3,3,1.0
CollgCr,50000,3,3,1.0
CollgCr,100000,3,3,1.0
Crawfor,20000,3,3,1.0
Crawfor,50000,3,3,1.0
Crawfor,100000,3,3,1.0
Edwards,20000,3,3,1.0
Edwards,50000,3,3,1.0
Edwards,100000,3,3,1.0
Gilbert,20000,3,3,1.0
Gilbert,50000,3,3,1.0
Gilbert,100000,3,3,1.0
IDOTRR,20000,3,3,1.0
IDOTRR,50000,3,3,1.0
IDOTRR,100000,3,3,1.0
MeadowV,20000,3,3,1.0
MeadowV,50000,3,3,1.0
MeadowV,100000,3,3,1.0
Mitchel,20000,3,3,1.0
Mitchel,50000,3,3,1.0
Mitchel,100000,3,3,1.0
NPkVill,20000,3,3,1.0
NPkVill,50000,3,3,1.0
NPkVill,100000,3,3,1.0
NWAmes,20000,3,3,1.0
NWAmes,50000,3,3,1.0
NWAmes,100000,3,3,1.0
No aplicames,20000,3,3,1.0
No aplicames,50000,3,3,1.0
No aplicames,100000,3,3,1.0
NoRidge,20000,3,3,1.0
NoRidge,50000,3,3,1.0
NoRidge,100000,3,3,1.0
NridgHt,20000,3,3,1.0
NridgHt,50000,3,3,1.0
NridgHt,100000,3,3,1.0
OldTown,20000,3,3,1.0
OldTown,50000,3,3,1.0
OldTown,100000,3,3,1.0
SWISU,20000,3,3,1.0
SWISU,50000,3,3,1.0
SWISU,100000,3,3,1.0
Sawyer,20000,3,3,1.0
Sawyer,50000,3,3,1.0
Sawyer,100000,3,3,1.0
SawyerW,20000,3,3,1.0
SawyerW,50000,3,3,1.0
SawyerW,100000,3,3,1.0
Somerst,20000,3,3,1.0
Somerst,50000,3,3,1.0
Somerst,100000,3,3,1.0
StoneBr,20000,3,3,1.0
StoneBr,50000,3,3,1.0
StoneBr,100000,3,3,1.0
Timber,20000,3,3,1.0
Timber,50000,3,3,1.0
Timber,100000,3,3,1.0
Veenker,20000,3,3,1.0
Veenker,50000,3,3,1.0
Veenker,100000,3,3,1.0
