col,count,rate_overall
Exter Qual,225,1.0
Exter Cond,225,1.0
Low Qual Fin SF,225,1.0
Gr Liv Area,225,1.0
Garage Qual,225,1.0
Garage Cond,225,1.0
Fireplace Qu,225,1.0
Kitchen Qual,225,1.0
Heating QC,225,1.0
Utilities,225,1.0
Bsmt Qual,225,1.0
Bsmt Cond,225,1.0
Bsmt Unf SF,208,0.9244444444444444
BsmtFin SF 1,202,0.8977777777777778
Garage Cars,192,0.8533333333333334
BsmtFin SF 2,101,0.4488888888888889
1st Flr SF,86,0.38222222222222224
Full Bath,65,0.28888888888888886
Open Porch SF,47,0.2088888888888889
Wood Deck SF,39,0.17333333333333334
Bedroom AbvGr,33,0.14666666666666667
Garage Area,25,0.1111111111111111
Half Bath,10,0.044444444444444446
Enclosed Porch,5,0.022222222222222223
Kitchen AbvGr,2,0.008888888888888889
