col,n_props,n_changes,net_gain_mean,net_gain_median,net_gain_per_cost_mean,net_gain_per_cost_median
Kitchen AbvGr,2,6,147391.6904492814,143036.90503286629,5.869373038628514,3.1376245945666934
Bedroom AbvGr,17,99,145520.1476967614,135440.71996697906,5.425792801557338,3.883504234207453
Garage Area,11,75,144818.40399486935,143532.51225500065,5.302361302027012,3.795503589346483
Open Porch SF,17,141,134791.69063959448,139243.33056331344,5.843667323624696,4.100604252965186
Full Bath,30,195,124053.47072658266,130462.4897817095,4.73497080548198,3.5019091820221733
1st Flr SF,39,258,122151.36625251807,123560.98819927045,4.605175934245187,3.7792491402898314
BsmtFin SF 2,42,303,114081.60703979009,113916.64328039181,5.2095969787408904,3.7861767650908593
Wood Deck SF,15,117,113567.49503652626,115392.06430899096,5.617537956638419,4.627301379629785
BsmtFin SF 1,69,606,104069.79979578144,96795.51581375062,4.9299105079839824,3.734831525465861
Bsmt Unf SF,70,624,103833.44662578359,96795.51581375068,4.890640850797965,3.739655069368174
Exter Cond,75,675,101401.18284643299,96266.72379237378,4.803171052055211,3.7181791853412007
Heating QC,75,675,101401.18284643299,96266.72379237378,4.803171052055211,3.7181791853412007
Utilities,75,675,101401.18284643299,96266.72379237378,4.803171052055211,3.7181791853412007
Bsmt Cond,75,675,101401.18284643299,96266.72379237378,4.803171052055211,3.7181791853412007
Low Qual Fin SF,75,675,101401.18284643299,96266.72379237378,4.803171052055211,3.7181791853412007
Kitchen Qual,75,675,101401.18284643299,96266.72379237378,4.803171052055211,3.7181791853412007
Bsmt Qual,75,675,101401.18284643299,96266.72379237378,4.803171052055211,3.7181791853412007
Gr Liv Area,75,675,101401.18284643299,96266.72379237378,4.803171052055211,3.7181791853412007
Exter Qual,75,675,101401.18284643299,96266.72379237378,4.803171052055211,3.7181791853412007
Garage Cond,75,675,101401.18284643299,96266.72379237378,4.803171052055211,3.7181791853412007
Fireplace Qu,75,675,101401.18284643299,96266.72379237378,4.803171052055211,3.7181791853412007
Garage Qual,75,675,101401.18284643299,96266.72379237378,4.803171052055211,3.7181791853412007
Enclosed Porch,2,15,95631.50626221376,79806.99212500919,3.6415768438922202,3.7861767650908593
Garage Cars,64,576,95374.62342666044,88466.9133776219,4.734365260520472,3.542330631109889
Half Bath,6,30,94087.06020345738,90106.55665181135,3.1723929486533775,2.65763089233494
