pid,n_changes
527107090,19
527146030,21
527210060,21
527252050,19
527375180,18
527450220,16
527450280,15
527451200,15
527453050,15
527453130,15
527455080,16
528102090,18
528120020,17
528150040,20
528218050,15
528222020,16
528228270,20
528228445,20
528228565,21
528315110,17
528363110,19
528429080,21
528445070,15
531375070,16
531376090,19
531385070,18
532351050,19
532353030,17
532378220,15
533128090,20
533206040,18
533250050,19
533250190,15
533254100,16
534152070,17
534250410,17
535152060,16
535153150,16
535456050,18
902100020,18
902207140,17
902330010,17
903201090,15
903204010,17
903236010,17
903450110,13
903455140,16
905351089,16
905352070,18
905452160,16
906380170,21
906426090,18
907262050,18
907290230,16
908102020,18
908188140,19
909129100,15
909251170,16
909256060,16
909275110,19
909275250,16
909426090,19
909451130,15
909451140,16
909455040,19
911102180,15
914476130,18
916226030,19
916380060,19
916403290,17
923225360,13
923225440,15
923228200,13
923277040,13
924100070,16
