pid,neighborhood,percentile_label,percentile_value,budget,quality_floor,status,base_price,opt_price,cost,net_gain,slack,mip_gap,obj_val,changes,xgb_features_path,model_path
535456050,No aplicames,p25,193260.055562266,20000.0,,OPTIMAL,186105.640625,329655.0297401402,19880.0,123669.38911514019,120.0,9.803578981784205e-05,309775.0297401402,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 0.0, 'new': 192.0}, {'col': 'Bsmt Unf SF', 'base': 1800.0, 'new': 1608.0}, {'col': 'Heating QC', 'base': 'TA', 'new': 2.0}, {'col': 'Low Qual Fin SF', 'base': 0, 'new': 994.0}, {'col': 'Gr Liv Area', 'base': 1800, 'new': 2794.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cars', 'base': 0.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cond', 'base': 'No aplica', 'new': -1.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos/xgb_features_pid535456050_b20000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535456050,No aplicames,p25,193260.055562266,50000.0,,OPTIMAL,186105.640625,361526.4791004593,34990.0,140430.8384754593,15010.0,0.0,326536.4791004593,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 0.0, 'new': 450.0}, {'col': 'BsmtFin SF 2', 'base': 0.0, 'new': 136.0}, {'col': 'Bsmt Unf SF', 'base': 1800.0, 'new': 1214.0}, {'col': 'Heating QC', 'base': 'TA', 'new': 2.0}, {'col': '1st Flr SF', 'base': 1800, 'new': 1840.0}, {'col': 'Low Qual Fin SF', 'base': 0, 'new': 954.0}, {'col': 'Gr Liv Area', 'base': 1800, 'new': 2794.0}, {'col': 'Full Bath', 'base': 2, 'new': 3.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cars', 'base': 0.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cond', 'base': 'No aplica', 'new': -1.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos/xgb_features_pid535456050_b50000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535456050,No aplicames,p25,193260.055562266,100000.0,,OPTIMAL,186105.640625,361526.4791004593,34990.0,140430.8384754593,65010.0,0.0,326536.4791004593,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 0.0, 'new': 450.0}, {'col': 'BsmtFin SF 2', 'base': 0.0, 'new': 136.0}, {'col': 'Bsmt Unf SF', 'base': 1800.0, 'new': 1214.0}, {'col': 'Heating QC', 'base': 'TA', 'new': 2.0}, {'col': '1st Flr SF', 'base': 1800, 'new': 1840.0}, {'col': 'Low Qual Fin SF', 'base': 0, 'new': 954.0}, {'col': 'Gr Liv Area', 'base': 1800, 'new': 2794.0}, {'col': 'Full Bath', 'base': 2, 'new': 3.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cars', 'base': 0.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cond', 'base': 'No aplica', 'new': -1.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos/xgb_features_pid535456050_b100000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535152060,No aplicames,p50,214522.72551894435,20000.0,,OPTIMAL,205844.359375,307979.20252558624,18530.0,83604.84315058624,1470.0,0.0,289449.20252558624,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 846.0, 'new': 888.0}, {'col': 'BsmtFin SF 2', 'base': 0.0, 'new': 60.0}, {'col': 'Bsmt Unf SF', 'base': 210.0, 'new': 108.0}, {'col': 'Heating QC', 'base': 'Fa', 'new': 1.0}, {'col': 'Low Qual Fin SF', 'base': 0, 'new': 945.0}, {'col': 'Gr Liv Area', 'base': 1056, 'new': 2001.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cars', 'base': 1.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos/xgb_features_pid535152060_b20000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535152060,No aplicames,p50,214522.72551894435,50000.0,,OPTIMAL,205844.359375,307979.20252558624,18530.0,83604.84315058624,31470.0,0.0,289449.20252558624,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 846.0, 'new': 881.0}, {'col': 'BsmtFin SF 2', 'base': 0.0, 'new': 67.0}, {'col': 'Bsmt Unf SF', 'base': 210.0, 'new': 108.0}, {'col': 'Heating QC', 'base': 'Fa', 'new': 1.0}, {'col': 'Low Qual Fin SF', 'base': 0, 'new': 939.0}, {'col': 'Gr Liv Area', 'base': 1056, 'new': 1995.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cars', 'base': 1.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos/xgb_features_pid535152060_b50000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535152060,No aplicames,p50,214522.72551894435,100000.0,,OPTIMAL,205844.359375,307979.20252558624,18530.0,83604.84315058624,81470.0,0.0,289449.20252558624,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 846.0, 'new': 881.0}, {'col': 'BsmtFin SF 2', 'base': 0.0, 'new': 67.0}, {'col': 'Bsmt Unf SF', 'base': 210.0, 'new': 108.0}, {'col': 'Heating QC', 'base': 'Fa', 'new': 1.0}, {'col': 'Low Qual Fin SF', 'base': 0, 'new': 1000.0}, {'col': 'Gr Liv Area', 'base': 1056, 'new': 2056.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cars', 'base': 1.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos/xgb_features_pid535152060_b100000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535153150,No aplicames,p75,242318.3773588412,20000.0,,OPTIMAL,244554.828125,357223.04044569476,19910.0,92758.21232069476,90.0,0.0,337313.04044569476,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 662.0, 'new': 856.0}, {'col': 'Bsmt Unf SF', 'base': 599.0, 'new': 405.0}, {'col': 'Heating QC', 'base': 'Ex', 'new': 4.0}, {'col': 'Low Qual Fin SF', 'base': 0, 'new': 976.0}, {'col': 'Gr Liv Area', 'base': 1261, 'new': 2237.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cars', 'base': 2.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos/xgb_features_pid535153150_b20000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535153150,No aplicames,p75,242318.3773588412,50000.0,,OPTIMAL,244554.828125,362994.0195378278,24425.0,94014.19141282781,25575.0,0.0,338569.0195378278,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 662.0, 'new': 1097.0}, {'col': 'BsmtFin SF 2', 'base': 0.0, 'new': 60.0}, {'col': 'Bsmt Unf SF', 'base': 599.0, 'new': 104.0}, {'col': 'Heating QC', 'base': 'Ex', 'new': 4.0}, {'col': 'Low Qual Fin SF', 'base': 0, 'new': 976.0}, {'col': 'Gr Liv Area', 'base': 1261, 'new': 2237.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cars', 'base': 2.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos/xgb_features_pid535153150_b50000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535153150,No aplicames,p75,242318.3773588412,100000.0,,OPTIMAL,244554.828125,362994.0195378278,24425.0,94014.19141282781,75575.0,0.0,338569.0195378278,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 662.0, 'new': 1097.0}, {'col': 'BsmtFin SF 2', 'base': 0.0, 'new': 60.0}, {'col': 'Bsmt Unf SF', 'base': 599.0, 'new': 104.0}, {'col': 'Heating QC', 'base': 'Ex', 'new': 4.0}, {'col': 'Low Qual Fin SF', 'base': 0, 'new': 976.0}, {'col': 'Gr Liv Area', 'base': 1261, 'new': 2237.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cars', 'base': 2.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos/xgb_features_pid535153150_b100000.csv,models/xgb/datos_nuevos/model_xgb.joblib
907290230,CollgCr,p25,247511.88243582493,20000.0,,OPTIMAL,226632.828125,346625.221928176,14277.279999999999,105715.11380317598,5722.720000000001,0.0,332347.941928176,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'Gd', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'Gd', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 662.0, 'new': 784.0}, {'col': 'Bsmt Unf SF', 'base': 186.0, 'new': 64.0}, {'col': 'Heating QC', 'base': 'Ex', 'new': 4.0}, {'col': 'Low Qual Fin SF', 'base': 0, 'new': 952.0}, {'col': 'Gr Liv Area', 'base': 848, 'new': 1800.0}, {'col': 'Kitchen Qual', 'base': 'Gd', 'new': 3.0}, {'col': 'Fireplace Qu', 'base': 'Gd', 'new': 3.0}, {'col': 'Garage Cars', 'base': 2.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Wood Deck SF', 'base': 140, 'new': 154.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos/xgb_features_pid907290230_b20000.csv,models/xgb/datos_nuevos/model_xgb.joblib
