pid,neighborhood,percentile_label,percentile_value,budget,quality_floor,status,base_price,opt_price,cost,net_gain,slack,mip_gap,obj_val,changes,xgb_features_path,model_path
535456050,No aplicames,p25,193260.055562266,20000,,OPTIMAL,186105.640625,298754.74032587453,19880.0,92769.09970087453,120.0,0.0,278874.74032587453,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 0.0, 'new': 192.0}, {'col': 'Bsmt Unf SF', 'base': 1800.0, 'new': 1608.0}, {'col': 'Heating QC', 'base': 'TA', 'new': 2.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cars', 'base': 0.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cond', 'base': 'No aplica', 'new': -1.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos_lowqual_fixed/xgb_features_pid535456050_b20000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535456050,No aplicames,p25,193260.055562266,50000,,OPTIMAL,186105.640625,338607.1021356457,39415.0,113086.46151064569,10585.0,0.0,299192.1021356457,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 0.0, 'new': 881.0}, {'col': 'Bsmt Unf SF', 'base': 1800.0, 'new': 919.0}, {'col': 'Heating QC', 'base': 'TA', 'new': 2.0}, {'col': '1st Flr SF', 'base': 1800, 'new': 1840.0}, {'col': 'Gr Liv Area', 'base': 1800, 'new': 1840.0}, {'col': 'Full Bath', 'base': 2, 'new': 3.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cars', 'base': 0.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cond', 'base': 'No aplica', 'new': -1.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos_lowqual_fixed/xgb_features_pid535456050_b50000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535456050,No aplicames,p25,193260.055562266,100000,,OPTIMAL,186105.640625,338607.1021356457,39415.0,113086.46151064569,60585.0,0.0,299192.1021356457,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 0.0, 'new': 881.0}, {'col': 'Bsmt Unf SF', 'base': 1800.0, 'new': 919.0}, {'col': 'Heating QC', 'base': 'TA', 'new': 2.0}, {'col': '1st Flr SF', 'base': 1800, 'new': 1840.0}, {'col': 'Gr Liv Area', 'base': 1800, 'new': 1840.0}, {'col': 'Full Bath', 'base': 2, 'new': 3.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cars', 'base': 0.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cond', 'base': 'No aplica', 'new': -1.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos_lowqual_fixed/xgb_features_pid535456050_b100000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535152060,No aplicames,p50,214522.72551894435,20000,,OPTIMAL,205844.359375,230993.92582609528,1530.0,23619.566451095277,18470.0,0.0,229463.92582609528,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 846.0, 'new': 888.0}, {'col': 'BsmtFin SF 2', 'base': 0.0, 'new': 60.0}, {'col': 'Bsmt Unf SF', 'base': 210.0, 'new': 108.0}, {'col': 'Heating QC', 'base': 'Fa', 'new': 1.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cars', 'base': 1.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos_lowqual_fixed/xgb_features_pid535152060_b20000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535152060,No aplicames,p50,214522.72551894435,50000,,OPTIMAL,205844.359375,230993.92582609528,1530.0,23619.566451095277,48470.0,0.0,229463.92582609528,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 846.0, 'new': 888.0}, {'col': 'BsmtFin SF 2', 'base': 0.0, 'new': 60.0}, {'col': 'Bsmt Unf SF', 'base': 210.0, 'new': 108.0}, {'col': 'Heating QC', 'base': 'Fa', 'new': 1.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cars', 'base': 1.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos_lowqual_fixed/xgb_features_pid535152060_b50000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535152060,No aplicames,p50,214522.72551894435,100000,,OPTIMAL,205844.359375,230993.92582609528,1530.0,23619.566451095277,98470.0,0.0,229463.92582609528,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 846.0, 'new': 888.0}, {'col': 'BsmtFin SF 2', 'base': 0.0, 'new': 60.0}, {'col': 'Bsmt Unf SF', 'base': 210.0, 'new': 108.0}, {'col': 'Heating QC', 'base': 'Fa', 'new': 1.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'No aplica', 'new': -1.0}, {'col': 'Garage Cars', 'base': 1.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos_lowqual_fixed/xgb_features_pid535152060_b100000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535153150,No aplicames,p75,242318.3773588412,20000,,OPTIMAL,244554.828125,263918.3429016088,2190.0,17173.51477660879,17810.0,1.3095357285691412e-05,261728.3429016088,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 662.0, 'new': 748.0}, {'col': 'BsmtFin SF 2', 'base': 0.0, 'new': 60.0}, {'col': 'Bsmt Unf SF', 'base': 599.0, 'new': 453.0}, {'col': 'Heating QC', 'base': 'Ex', 'new': 4.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cars', 'base': 2.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos_lowqual_fixed/xgb_features_pid535153150_b20000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535153150,No aplicames,p75,242318.3773588412,50000,,OPTIMAL,244554.828125,295852.1450049409,34085.0,17212.316879940918,15915.0,0.0,261767.14500494092,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 662.0, 'new': 881.0}, {'col': 'Bsmt Unf SF', 'base': 599.0, 'new': 380.0}, {'col': 'Heating QC', 'base': 'Ex', 'new': 4.0}, {'col': '1st Flr SF', 'base': 1261, 'new': 1321.0}, {'col': 'Gr Liv Area', 'base': 1261, 'new': 1321.0}, {'col': 'Full Bath', 'base': 1, 'new': 2.0}, {'col': 'Half Bath', 'base': 0, 'new': 1.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cars', 'base': 2.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos_lowqual_fixed/xgb_features_pid535153150_b50000.csv,models/xgb/datos_nuevos/model_xgb.joblib
535153150,No aplicames,p75,242318.3773588412,100000,,OPTIMAL,244554.828125,295852.1450049409,34085.0,17212.316879940918,65915.0,0.0,261767.14500494092,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'TA', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'TA', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 662.0, 'new': 881.0}, {'col': 'Bsmt Unf SF', 'base': 599.0, 'new': 380.0}, {'col': 'Heating QC', 'base': 'Ex', 'new': 4.0}, {'col': '1st Flr SF', 'base': 1261, 'new': 1321.0}, {'col': 'Gr Liv Area', 'base': 1261, 'new': 1321.0}, {'col': 'Full Bath', 'base': 1, 'new': 2.0}, {'col': 'Half Bath', 'base': 0, 'new': 1.0}, {'col': 'Kitchen Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Fireplace Qu', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cars', 'base': 2.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos_lowqual_fixed/xgb_features_pid535153150_b100000.csv,models/xgb/datos_nuevos/model_xgb.joblib
907290230,CollgCr,p25,247511.88243582493,20000,,OPTIMAL,226632.828125,250245.76819080458,17720.0,5892.940065804578,2280.0,0.0,232525.76819080458,"[{'col': 'Utilities', 'base': 'AllPub', 'new': 3}, {'col': 'Exter Qual', 'base': 'Gd', 'new': 3.0}, {'col': 'Exter Cond', 'base': 'TA', 'new': 2.0}, {'col': 'Bsmt Qual', 'base': 'Gd', 'new': 4.0}, {'col': 'Bsmt Cond', 'base': 'TA', 'new': 2.0}, {'col': 'BsmtFin SF 1', 'base': 662.0, 'new': 770.0}, {'col': 'Bsmt Unf SF', 'base': 186.0, 'new': 78.0}, {'col': 'Heating QC', 'base': 'Ex', 'new': 4.0}, {'col': '1st Flr SF', 'base': 848, 'new': 918.0}, {'col': 'Gr Liv Area', 'base': 848, 'new': 918.0}, {'col': 'Bedroom AbvGr', 'base': 1, 'new': 2.0}, {'col': 'Kitchen Qual', 'base': 'Gd', 'new': 3.0}, {'col': 'Fireplace Qu', 'base': 'Gd', 'new': 3.0}, {'col': 'Garage Cars', 'base': 2.0, 'new': 3.0}, {'col': 'Garage Qual', 'base': 'TA', 'new': 2.0}, {'col': 'Garage Cond', 'base': 'TA', 'new': 2.0}]",optimization/sensibilidad_remodelacion_runs/datos_nuevos_lowqual_fixed/xgb_features_pid907290230_b20000.csv,models/xgb/datos_nuevos/model_xgb.joblib
